
 Fermi energy:        -1.6146623023

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9217      1.00000
      2     -23.6041      1.00000
      3     -23.5577      1.00000
      4     -23.5187      1.00000
      5     -23.3992      1.00000
      6     -23.3230      1.00000
      7     -23.0156      1.00000
      8     -22.6706      1.00000
      9     -22.6649      1.00000
     10     -22.6509      1.00000
     11     -22.6111      1.00000
     12     -22.6010      1.00000
     13     -22.5218      1.00000
     14     -22.2703      1.00000
     15     -22.2338      1.00000
     16     -22.1840      1.00000
     17     -22.0901      1.00000
     18     -21.9714      1.00000
     19     -21.6199      1.00000
     20     -21.3666      1.00000
     21     -21.3542      1.00000
     22     -21.3467      1.00000
     23     -21.3418      1.00000
     24     -21.3110      1.00000
     25     -21.3091      1.00000
     26     -21.1521      1.00000
     27     -21.1376      1.00000
     28     -21.1237      1.00000
     29     -21.0623      1.00000
     30     -21.0184      1.00000
     31     -20.9592      1.00000
     32     -20.8315      1.00000
     33     -20.7944      1.00000
     34     -20.7479      1.00000
     35     -20.6515      1.00000
     36     -20.5909      1.00000
     37     -20.4006      1.00000
     38     -20.3780      1.00000
     39     -20.3461      1.00000
     40     -20.3268      1.00000
     41     -20.2863      1.00000
     42     -20.2461      1.00000
     43     -20.1972      1.00000
     44     -20.1477      1.00000
     45     -20.0173      1.00000
     46     -19.9204      1.00000
     47     -19.4084      1.00000
     48     -14.6965      1.00000
     49     -14.0323      1.00000
     50     -13.9957      1.00000
     51     -13.9810      1.00000
     52     -13.9589      1.00000
     53     -13.9314      1.00000
     54     -13.9270      1.00000
     55     -13.8522      1.00000
     56     -13.8005      1.00000
     57     -13.7351      1.00000
     58     -13.4764      1.00000
     59     -13.4070      1.00000
     60     -13.3728      1.00000
     61     -13.2784      1.00000
     62     -13.2034      1.00000
     63     -13.1063      1.00000
     64     -13.0047      1.00000
     65     -12.9678      1.00000
     66     -12.9231      1.00000
     67     -12.7364      1.00000
     68     -12.4859      1.00000
     69     -12.4734      1.00000
     70     -12.4680      1.00000
     71     -12.4596      1.00000
     72     -12.4090      1.00000
     73     -12.3831      1.00000
     74     -12.3033      1.00000
     75     -12.1010      1.00000
     76     -12.0110      1.00000
     77     -11.9226      1.00000
     78     -11.8512      1.00000
     79     -11.7741      1.00000
     80     -11.7378      1.00000
     81     -11.5168      1.00000
     82     -11.4372      1.00000
     83     -11.3434      1.00000
     84     -11.2822      1.00000
     85     -11.1194      1.00000
     86     -10.8758      1.00000
     87     -10.7931      1.00000
     88     -10.7729      1.00000
     89     -10.6162      1.00000
     90     -10.4339      1.00000
     91     -10.2587      1.00000
     92     -10.1972      1.00000
     93     -10.1519      1.00000
     94     -10.1070      1.00000
     95     -10.0949      1.00000
     96     -10.0674      1.00000
     97     -10.0311      1.00000
     98      -9.9923      1.00000
     99      -9.7541      1.00000
    100      -9.7505      1.00000
    101      -9.7350      1.00000
    102      -9.7256      1.00000
    103      -9.7121      1.00000
    104      -9.7040      1.00000
    105      -9.6912      1.00000
    106      -9.6834      1.00000
    107      -9.6636      1.00000
    108      -9.6269      1.00000
    109      -9.5880      1.00000
    110      -9.5869      1.00000
    111      -9.5577      1.00000
    112      -9.5112      1.00000
    113      -9.4975      1.00000
    114      -9.4766      1.00000
    115      -9.4426      1.00000
    116      -9.3324      1.00000
    117      -9.3152      1.00000
    118      -9.2257      1.00000
    119      -9.1085      1.00000
    120      -9.0198      1.00000
    121      -8.9269      1.00000
    122      -8.9163      1.00000
    123      -8.8508      1.00000
    124      -8.7097      1.00000
    125      -8.5134      1.00000
    126      -8.4999      1.00000
    127      -8.4854      1.00000
    128      -8.4502      1.00000
    129      -8.4321      1.00000
    130      -8.3895      1.00000
    131      -8.3031      1.00000
    132      -8.2997      1.00000
    133      -8.2689      1.00000
    134      -8.2369      1.00000
    135      -8.2270      1.00000
    136      -8.2042      1.00000
    137      -8.1817      1.00000
    138      -8.1138      1.00000
    139      -8.0836      1.00000
    140      -8.0742      1.00000
    141      -7.9995      1.00000
    142      -7.9739      1.00000
    143      -7.8899      1.00000
    144      -7.8809      1.00000
    145      -7.8028      1.00000
    146      -7.7764      1.00000
    147      -7.7381      1.00000
    148      -7.6591      1.00000
    149      -7.6353      1.00000
    150      -7.5766      1.00000
    151      -7.5643      1.00000
    152      -7.4760      1.00000
    153      -7.2421      1.00000
    154      -7.2027      1.00000
    155      -7.0110      1.00000
    156      -6.8734      1.00000
    157      -6.8315      1.00000
    158      -6.7543      1.00000
    159      -6.6554      1.00000
    160      -6.6296      1.00000
    161      -6.6084      1.00000
    162      -6.5937      1.00000
    163      -6.5689      1.00000
    164      -6.5615      1.00000
    165      -6.5438      1.00000
    166      -6.4501      1.00000
    167      -6.3520      1.00000
    168      -6.3085      1.00000
    169      -6.2907      1.00000
    170      -6.2521      1.00000
    171      -6.1754      1.00000
    172      -6.1037      1.00000
    173      -6.0426      1.00000
    174      -5.9793      1.00000
    175      -5.8919      1.00000
    176      -5.8033      1.00000
    177      -5.7560      1.00000
    178      -5.6549      1.00000
    179      -5.5497      1.00000
    180      -5.3611      1.00000
    181      -5.1636      1.00000
    182      -5.1321      1.00000
    183      -5.1071      1.00000
    184      -5.0278      1.00000
    185      -4.9769      1.00000
    186      -4.9630      1.00000
    187      -4.8671      1.00000
    188      -4.8120      1.00000
    189      -4.7809      1.00000
    190      -4.6953      1.00000
    191      -4.2946      1.00000
    192      -4.1140      1.00000
    193      -3.7090      1.00000
    194      -1.8918      1.00000
    195       0.9211      0.00000
    196       1.3116      0.00000
    197       1.4802      0.00000
    198       1.5091      0.00000
    199       1.5329      0.00000
    200       1.5493      0.00000
    201       1.6269      0.00000
    202       1.6686      0.00000
    203       1.6849      0.00000
    204       1.6992      0.00000
    205       1.7106      0.00000
    206       1.7204      0.00000
    207       1.7274      0.00000
    208       1.7451      0.00000
    209       1.7694      0.00000
    210       1.8357      0.00000
    211       1.8994      0.00000
    212       1.9453      0.00000
    213       1.9911      0.00000
    214       2.0157      0.00000
    215       2.0899      0.00000
    216       2.1964      0.00000
    217       2.2239      0.00000
    218       2.2721      0.00000
    219       2.2842      0.00000
    220       2.2949      0.00000
    221       2.3215      0.00000
    222       2.3292      0.00000
    223       2.3329      0.00000
    224       2.4172      0.00000
    225       2.4309      0.00000
    226       2.5615      0.00000
    227       2.5663      0.00000
    228       2.5957      0.00000
    229       2.6098      0.00000
    230       2.6247      0.00000
    231       2.6877      0.00000
    232       2.7103      0.00000
    233       2.7817      0.00000
    234       2.8017      0.00000
    235       2.8883      0.00000
    236       2.8981      0.00000
    237       2.9022      0.00000
    238       2.9221      0.00000
    239       2.9390      0.00000
    240       3.0484      0.00000
    241       3.1324      0.00000
    242       3.2652      0.00000
    243       3.3638      0.00000
    244       3.3844      0.00000
    245       3.3989      0.00000
    246       3.4175      0.00000
    247       3.4388      0.00000
    248       3.4580      0.00000
    249       3.4838      0.00000
    250       3.4935      0.00000
    251       3.5262      0.00000
    252       3.5458      0.00000
 Fermi energy:        -1.6146623023

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9217      1.00000
      2     -23.6041      1.00000
      3     -23.5577      1.00000
      4     -23.5187      1.00000
      5     -23.3992      1.00000
      6     -23.3230      1.00000
      7     -23.0156      1.00000
      8     -22.6706      1.00000
      9     -22.6649      1.00000
     10     -22.6509      1.00000
     11     -22.6111      1.00000
     12     -22.6010      1.00000
     13     -22.5218      1.00000
     14     -22.2703      1.00000
     15     -22.2338      1.00000
     16     -22.1840      1.00000
     17     -22.0901      1.00000
     18     -21.9714      1.00000
     19     -21.6199      1.00000
     20     -21.3666      1.00000
     21     -21.3542      1.00000
     22     -21.3467      1.00000
     23     -21.3418      1.00000
     24     -21.3110      1.00000
     25     -21.3091      1.00000
     26     -21.1521      1.00000
     27     -21.1376      1.00000
     28     -21.1237      1.00000
     29     -21.0623      1.00000
     30     -21.0184      1.00000
     31     -20.9592      1.00000
     32     -20.8315      1.00000
     33     -20.7944      1.00000
     34     -20.7479      1.00000
     35     -20.6515      1.00000
     36     -20.5909      1.00000
     37     -20.4006      1.00000
     38     -20.3780      1.00000
     39     -20.3461      1.00000
     40     -20.3268      1.00000
     41     -20.2863      1.00000
     42     -20.2461      1.00000
     43     -20.1972      1.00000
