
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9242      1.00000
      2     -24.5995      1.00000
      3     -24.4450      1.00000
      4     -24.3276      1.00000
      5     -24.2840      1.00000
      6     -24.2339      1.00000
      7     -24.1892      1.00000
      8     -23.7600      1.00000
      9     -23.6804      1.00000
     10     -23.5837      1.00000
     11     -23.5659      1.00000
     12     -23.4434      1.00000
     13     -23.3250      1.00000
     14     -23.2327      1.00000
     15     -23.2029      1.00000
     16     -23.1604      1.00000
     17     -23.1405      1.00000
     18     -23.0527      1.00000
     19     -22.9211      1.00000
     20     -22.5043      1.00000
     21     -22.3943      1.00000
     22     -22.3573      1.00000
     23     -22.2496      1.00000
     24     -22.1774      1.00000
     25     -22.1389      1.00000
     26     -22.1108      1.00000
     27     -22.0887      1.00000
     28     -22.0784      1.00000
     29     -22.0679      1.00000
     30     -21.9051      1.00000
     31     -21.8547      1.00000
     32     -21.8423      1.00000
     33     -21.6522      1.00000
     34     -21.6380      1.00000
     35     -21.6353      1.00000
     36     -21.6154      1.00000
     37     -21.5165      1.00000
     38     -21.2723      1.00000
     39     -21.2629      1.00000
     40     -21.2359      1.00000
     41     -21.2005      1.00000
     42     -21.0610      1.00000
     43     -21.0552      1.00000
     44     -20.9650      1.00000
     45     -20.9628      1.00000
     46     -20.9431      1.00000
     47     -20.9245      1.00000
     48     -17.9122      1.00000
     49     -15.2303      1.00000
     50     -15.0922      1.00000
     51     -14.9511      1.00000
     52     -14.8862      1.00000
     53     -14.8129      1.00000
     54     -14.7407      1.00000
     55     -14.6760      1.00000
     56     -14.6467      1.00000
     57     -14.6072      1.00000
     58     -14.5798      1.00000
     59     -14.5573      1.00000
     60     -14.4790      1.00000
     61     -14.3118      1.00000
     62     -14.1394      1.00000
     63     -14.0790      1.00000
     64     -14.0061      1.00000
     65     -13.9731      1.00000
     66     -13.8697      1.00000
     67     -13.7586      1.00000
     68     -13.4776      1.00000
     69     -13.4421      1.00000
     70     -13.3848      1.00000
     71     -13.3548      1.00000
     72     -13.3372      1.00000
     73     -13.2959      1.00000
     74     -13.2776      1.00000
     75     -13.2330      1.00000
     76     -13.1894      1.00000
     77     -13.0883      1.00000
     78     -12.9908      1.00000
     79     -12.6865      1.00000
     80     -12.6371      1.00000
     81     -12.5562      1.00000
     82     -12.5288      1.00000
     83     -12.4268      1.00000
     84     -12.4171      1.00000
     85     -12.2438      1.00000
     86     -11.9565      1.00000
     87     -11.9022      1.00000
     88     -11.7937      1.00000
     89     -11.6548      1.00000
     90     -11.6353      1.00000
     91     -11.2857      1.00000
     92     -11.1970      1.00000
     93     -11.1428      1.00000
     94     -11.0936      1.00000
     95     -11.0458      1.00000
     96     -10.9421      1.00000
     97     -10.9349      1.00000
     98     -10.9173      1.00000
     99     -10.7965      1.00000
    100     -10.7755      1.00000
    101     -10.7446      1.00000
    102     -10.6877      1.00000
    103     -10.6806      1.00000
    104     -10.6281      1.00000
    105     -10.6181      1.00000
    106     -10.5694      1.00000
    107     -10.5141      1.00000
    108     -10.5016      1.00000
    109     -10.4835      1.00000
    110     -10.4782      1.00000
    111     -10.4620      1.00000
    112     -10.4445      1.00000
    113     -10.4276      1.00000
    114     -10.3862      1.00000
    115     -10.3376      1.00000
    116     -10.3302      1.00000
    117     -10.2810      1.00000
    118     -10.2417      1.00000
    119     -10.2128      1.00000
    120     -10.0591      1.00000
