
 Fermi energy:        -3.6211669915

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8371      1.00000
      2     -24.5830      1.00000
      3     -24.4169      1.00000
      4     -24.3125      1.00000
      5     -24.2723      1.00000
      6     -24.2056      1.00000
      7     -24.1758      1.00000
      8     -23.7116      1.00000
      9     -23.6467      1.00000
     10     -23.5633      1.00000
     11     -23.5523      1.00000
     12     -23.4214      1.00000
     13     -23.3039      1.00000
     14     -23.2099      1.00000
     15     -23.1882      1.00000
     16     -23.1419      1.00000
     17     -23.1227      1.00000
     18     -23.0321      1.00000
     19     -22.8953      1.00000
     20     -22.4432      1.00000
     21     -22.3665      1.00000
     22     -22.3393      1.00000
     23     -22.2227      1.00000
     24     -22.1538      1.00000
     25     -22.1345      1.00000
     26     -22.0912      1.00000
     27     -22.0821      1.00000
     28     -22.0600      1.00000
     29     -22.0533      1.00000
     30     -21.8901      1.00000
     31     -21.8368      1.00000
     32     -21.8212      1.00000
     33     -21.6301      1.00000
     34     -21.6221      1.00000
     35     -21.6169      1.00000
     36     -21.5989      1.00000
     37     -21.5015      1.00000
     38     -21.2557      1.00000
     39     -21.2425      1.00000
     40     -21.2200      1.00000
     41     -21.1901      1.00000
     42     -21.0455      1.00000
     43     -21.0387      1.00000
     44     -20.9482      1.00000
     45     -20.9461      1.00000
     46     -20.9259      1.00000
     47     -20.9116      1.00000
     48     -17.9314      1.00000
     49     -15.1370      1.00000
     50     -15.1022      1.00000
     51     -14.9226      1.00000
     52     -14.8538      1.00000
     53     -14.7683      1.00000
     54     -14.7213      1.00000
     55     -14.6550      1.00000
     56     -14.6275      1.00000
     57     -14.5881      1.00000
     58     -14.5647      1.00000
     59     -14.5403      1.00000
     60     -14.4637      1.00000
     61     -14.2919      1.00000
     62     -14.1092      1.00000
     63     -14.0437      1.00000
     64     -13.9841      1.00000
     65     -13.9535      1.00000
     66     -13.8497      1.00000
     67     -13.7377      1.00000
     68     -13.4520      1.00000
     69     -13.4144      1.00000
     70     -13.3603      1.00000
     71     -13.3334      1.00000
     72     -13.3165      1.00000
     73     -13.2797      1.00000
     74     -13.2629      1.00000
     75     -13.2135      1.00000
     76     -13.1760      1.00000
     77     -13.0640      1.00000
     78     -12.9542      1.00000
     79     -12.6777      1.00000
     80     -12.6027      1.00000
     81     -12.5379      1.00000
     82     -12.5152      1.00000
     83     -12.4068      1.00000
     84     -12.3888      1.00000
     85     -12.2222      1.00000
     86     -11.9321      1.00000
     87     -11.8716      1.00000
     88     -11.7749      1.00000
     89     -11.6360      1.00000
     90     -11.6120      1.00000
     91     -11.2455      1.00000
     92     -11.1491      1.00000
     93     -11.1129      1.00000
     94     -11.0673      1.00000
     95     -11.0080      1.00000
     96     -10.9277      1.00000
     97     -10.9123      1.00000
     98     -10.9000      1.00000
     99     -10.7715      1.00000
    100     -10.7516      1.00000
    101     -10.7206      1.00000
    102     -10.6688      1.00000
    103     -10.6522      1.00000
    104     -10.6084      1.00000
    105     -10.5951      1.00000
    106     -10.5527      1.00000
    107     -10.4948      1.00000
    108     -10.4832      1.00000
    109     -10.4654      1.00000
    110     -10.4607      1.00000
    111     -10.4427      1.00000
    112     -10.4280      1.00000
    113     -10.4234      1.00000
    114     -10.3682      1.00000
