
 Fermi energy:         0.6827993296

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.2468      1.00000
      2     -24.2964      1.00000
      3     -24.0967      1.00000
      4     -24.0967      1.00000
      5     -23.9516      1.00000
      6     -23.9516      1.00000
      7     -23.9384      1.00000
      8     -23.4449      1.00000
      9     -23.3901      1.00000
     10     -23.3901      1.00000
     11     -23.1794      1.00000
     12     -23.1456      1.00000
     13     -23.1455      1.00000
     14     -22.9054      1.00000
     15     -22.9054      1.00000
     16     -22.8942      1.00000
     17     -22.7786      1.00000
     18     -22.7779      1.00000
     19     -22.7779      1.00000
     20     -22.1238      1.00000
     21     -22.1238      1.00000
     22     -21.9447      1.00000
     23     -21.8340      1.00000
     24     -21.7978      1.00000
     25     -21.7978      1.00000
     26     -21.7730      1.00000
     27     -21.7521      1.00000
     28     -21.7510      1.00000
     29     -21.7510      1.00000
     30     -21.7403      1.00000
     31     -21.7403      1.00000
     32     -21.4389      1.00000
     33     -21.4389      1.00000
     34     -21.4057      1.00000
     35     -21.3155      1.00000
     36     -21.2916      1.00000
     37     -21.2916      1.00000
     38     -20.9428      1.00000
     39     -20.9428      1.00000
     40     -20.8553      1.00000
     41     -20.8553      1.00000
     42     -20.8417      1.00000
     43     -20.8222      1.00000
     44     -20.7357      1.00000
     45     -20.7357      1.00000
     46     -20.6628      1.00000
     47     -20.6432      1.00000
     48     -20.6066      1.00000
     49     -20.6066      1.00000
     50     -16.9401      1.00000
     51     -14.6669      1.00000
     52     -14.6669      1.00000
     53     -14.5512      1.00000
     54     -14.4894      1.00000
     55     -14.4894      1.00000
     56     -14.3557      1.00000
     57     -14.3429      1.00000
     58     -14.3428      1.00000
     59     -14.2296      1.00000
     60     -14.2296      1.00000
     61     -14.2174      1.00000
     62     -13.8779      1.00000
     63     -13.8779      1.00000
     64     -13.8171      1.00000
     65     -13.7675      1.00000
     66     -13.6580      1.00000
     67     -13.6580      1.00000
     68     -13.2855      1.00000
     69     -13.1537      1.00000
     70     -13.1537      1.00000
     71     -13.0741      1.00000
     72     -13.0741      1.00000
     73     -13.0362      1.00000
     74     -12.9313      1.00000
     75     -12.9172      1.00000
     76     -12.9171      1.00000
     77     -12.9122      1.00000
     78     -12.9086      1.00000
     79     -12.9086      1.00000
     80     -12.6228      1.00000
     81     -12.3881      1.00000
     82     -12.3045      1.00000
     83     -12.3045      1.00000
     84     -12.2058      1.00000
     85     -12.2058      1.00000
     86     -11.6510      1.00000
     87     -11.6509      1.00000
     88     -11.5536      1.00000
     89     -11.4446      1.00000
     90     -11.4446      1.00000
     91     -11.4199      1.00000
     92     -10.9386      1.00000
     93     -10.8397      1.00000
     94     -10.8397      1.00000
     95     -10.7633      1.00000
     96     -10.6625      1.00000
     97     -10.6129      1.00000
     98     -10.6128      1.00000
     99     -10.4909      1.00000
    100     -10.4908      1.00000
    101     -10.4118      1.00000
    102     -10.3265      1.00000
    103     -10.3190      1.00000
    104     -10.2559      1.00000
    105     -10.2558      1.00000
    106     -10.2505      1.00000
    107     -10.2505      1.00000
    108     -10.2394      1.00000
    109     -10.1835      1.00000
    110     -10.1834      1.00000
    111     -10.1762      1.00000
    112     -10.1319      1.00000
    113     -10.1294      1.00000
    114     -10.1294      1.00000
    115     -10.0859      1.00000
    116     -10.0708      1.00000
    117     -10.0706      1.00000
    118     -10.0573      1.00000
    119     -10.0573      1.00000
    120     -10.0429      1.00000
    121     -10.0342      1.00000
    122     -10.0341      1.00000
    123      -9.4285      1.00000
    124      -9.4210      1.00000
    125      -9.4209      1.00000
    126      -9.4028      1.00000
    127      -9.4026      1.00000
    128      -9.3762      1.00000
    129      -9.1297      1.00000
    130      -9.0534      1.00000
    131      -9.0534      1.00000
    132      -8.9684      1.00000
    133      -8.9372      1.00000
    134      -8.9372      1.00000
    135      -8.9262      1.00000
    136      -8.8883      1.00000
    137      -8.8882      1.00000
    138      -8.6201      1.00000
    139      -8.6200      1.00000
    140      -8.6127      1.00000
