# freq/cm-1  Intensity 
-1.98400e+02   6.39460e-05
-1.97900e+02   6.39958e-05
-1.97400e+02   6.40457e-05
-1.96900e+02   6.40956e-05
-1.96400e+02   6.41456e-05
-1.95900e+02   6.41957e-05
-1.95400e+02   6.42459e-05
-1.94900e+02   6.42961e-05
-1.94400e+02   6.43464e-05
-1.93900e+02   6.43967e-05
-1.93400e+02   6.44471e-05
-1.92900e+02   6.44976e-05
-1.92400e+02   6.45482e-05
-1.91900e+02   6.45988e-05
-1.91400e+02   6.46495e-05
-1.90900e+02   6.47003e-05
-1.90400e+02   6.47511e-05
-1.89900e+02   6.48020e-05
-1.89400e+02   6.48530e-05
-1.88900e+02   6.49040e-05
-1.88400e+02   6.49551e-05
-1.87900e+02   6.50063e-05
-1.87400e+02   6.50576e-05
-1.86900e+02   6.51089e-05
-1.86400e+02   6.51603e-05
-1.85900e+02   6.52118e-05
-1.85400e+02   6.52633e-05
-1.84900e+02   6.53149e-05
-1.84400e+02   6.53666e-05
-1.83900e+02   6.54184e-05
-1.83400e+02   6.54702e-05
-1.82900e+02   6.55221e-05
-1.82400e+02   6.55741e-05
-1.81900e+02   6.56261e-05
-1.81400e+02   6.56783e-05
-1.80900e+02   6.57305e-05
-1.80400e+02   6.57827e-05
-1.79900e+02   6.58351e-05
-1.79400e+02   6.58875e-05
-1.78900e+02   6.59400e-05
-1.78400e+02   6.59925e-05
-1.77900e+02   6.60452e-05
-1.77400e+02   6.60979e-05
-1.76900e+02   6.61507e-05
-1.76400e+02   6.62035e-05
-1.75900e+02   6.62565e-05
-1.75400e+02   6.63095e-05
-1.74900e+02   6.63626e-05
-1.74400e+02   6.64157e-05
-1.73900e+02   6.64690e-05
-1.73400e+02   6.65223e-05
-1.72900e+02   6.65757e-05
-1.72400e+02   6.66291e-05
-1.71900e+02   6.66827e-05
-1.71400e+02   6.67363e-05
-1.70900e+02   6.67900e-05
-1.70400e+02   6.68438e-05
-1.69900e+02   6.68976e-05
-1.69400e+02   6.69516e-05
-1.68900e+02   6.70056e-05
-1.68400e+02   6.70596e-05
-1.67900e+02   6.71138e-05
-1.67400e+02   6.71680e-05
-1.66900e+02   6.72224e-05
-1.66400e+02   6.72768e-05
-1.65900e+02   6.73312e-05
-1.65400e+02   6.73858e-05
-1.64900e+02   6.74404e-05
-1.64400e+02   6.74951e-05
-1.63900e+02   6.75499e-05
-1.63400e+02   6.76048e-05
-1.62900e+02   6.76598e-05
-1.62400e+02   6.77148e-05
-1.61900e+02   6.77699e-05
-1.61400e+02   6.78251e-05
-1.60900e+02   6.78804e-05
-1.60400e+02   6.79358e-05
-1.59900e+02   6.79912e-05
-1.59400e+02   6.80467e-05
-1.58900e+02   6.81023e-05
-1.58400e+02   6.81580e-05
-1.57900e+02   6.82138e-05
-1.57400e+02   6.82696e-05
-1.56900e+02   6.83256e-05
-1.56400e+02   6.83816e-05
-1.55900e+02   6.84377e-05
-1.55400e+02   6.84939e-05
-1.54900e+02   6.85501e-05
-1.54400e+02   6.86065e-05
-1.53900e+02   6.86629e-05
-1.53400e+02   6.87194e-05
-1.52900e+02   6.87760e-05
-1.52400e+02   6.88327e-05
-1.51900e+02   6.88895e-05
-1.51400e+02   6.89464e-05
-1.50900e+02   6.90033e-05
-1.50400e+02   6.90603e-05
-1.49900e+02   6.91174e-05
-1.49400e+02   6.91747e-05
-1.48900e+02   6.92319e-05
-1.48400e+02   6.92893e-05
-1.47900e+02   6.93468e-05
-1.47400e+02   6.94043e-05
-1.46900e+02   6.94620e-05
-1.46400e+02   6.95197e-05
-1.45900e+02   6.95775e-05
-1.45400e+02   6.96354e-05
-1.44900e+02   6.96934e-05
-1.44400e+02   6.97515e-05
-1.43900e+02   6.98096e-05
