
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.6210      1.00000
      2     -24.3854      1.00000
      3     -24.2603      1.00000
      4     -24.0720      1.00000
      5     -23.9834      1.00000
      6     -23.9607      1.00000
      7     -23.9314      1.00000
      8     -23.6219      1.00000
      9     -23.5630      1.00000
     10     -23.3253      1.00000
     11     -23.2717      1.00000
     12     -23.1963      1.00000
     13     -23.1555      1.00000
     14     -22.9775      1.00000
     15     -22.9487      1.00000
     16     -22.9245      1.00000
     17     -22.8432      1.00000
     18     -22.8160      1.00000
     19     -22.7485      1.00000
     20     -22.4209      1.00000
     21     -22.2646      1.00000
     22     -22.1380      1.00000
     23     -21.9154      1.00000
     24     -21.8952      1.00000
     25     -21.8719      1.00000
     26     -21.8300      1.00000
     27     -21.8067      1.00000
     28     -21.7915      1.00000
     29     -21.7750      1.00000
     30     -21.7292      1.00000
     31     -21.6791      1.00000
     32     -21.5040      1.00000
     33     -21.4996      1.00000
     34     -21.4712      1.00000
     35     -21.3478      1.00000
     36     -21.3264      1.00000
     37     -21.2443      1.00000
     38     -21.0918      1.00000
     39     -21.0543      1.00000
     40     -20.9106      1.00000
     41     -20.8953      1.00000
     42     -20.8669      1.00000
     43     -20.8368      1.00000
     44     -20.7835      1.00000
     45     -20.7696      1.00000
     46     -20.6693      1.00000
     47     -20.6514      1.00000
     48     -20.6094      1.00000
     49     -20.4961      1.00000
     50     -16.4386      1.00000
     51     -14.8323      1.00000
     52     -14.7000      1.00000
     53     -14.5776      1.00000
     54     -14.4932      1.00000
     55     -14.4662      1.00000
     56     -14.4009      1.00000
     57     -14.3365      1.00000
     58     -14.3187      1.00000
     59     -14.2833      1.00000
     60     -14.2443      1.00000
     61     -14.0934      1.00000
     62     -13.9640      1.00000
     63     -13.8780      1.00000
     64     -13.7764      1.00000
     65     -13.7454      1.00000
     66     -13.6531      1.00000
     67     -13.6240      1.00000
     68     -13.3012      1.00000
     69     -13.2295      1.00000
     70     -13.2266      1.00000
     71     -13.1190      1.00000
     72     -13.0934      1.00000
     73     -13.0055      1.00000
     74     -12.9871      1.00000
     75     -12.9789      1.00000
     76     -12.9559      1.00000
     77     -12.8863      1.00000
     78     -12.8746      1.00000
     79     -12.7745      1.00000
     80     -12.5234      1.00000
     81     -12.3552      1.00000
     82     -12.3213      1.00000
     83     -12.2498      1.00000
     84     -12.1576      1.00000
     85     -11.9504      1.00000
     86     -11.7340      1.00000
     87     -11.6277      1.00000
     88     -11.5383      1.00000
     89     -11.5177      1.00000
     90     -11.4606      1.00000
     91     -11.1993      1.00000
     92     -11.1823      1.00000
     93     -11.0559      1.00000
     94     -10.9393      1.00000
     95     -10.7502      1.00000
     96     -10.7044      1.00000
     97     -10.6774      1.00000
     98     -10.5923      1.00000
     99     -10.5415      1.00000
    100     -10.5373      1.00000
    101     -10.4973      1.00000
    102     -10.4383      1.00000
    103     -10.3762      1.00000
    104     -10.3348      1.00000
    105     -10.2997      1.00000
    106     -10.2794      1.00000
    107     -10.2444      1.00000
    108     -10.2440      1.00000
    109     -10.2416      1.00000
    110     -10.2351      1.00000
    111     -10.2094      1.00000
    112     -10.1823      1.00000
    113     -10.1568      1.00000
    114     -10.1493      1.00000
    115     -10.1259      1.00000
    116     -10.0906      1.00000
    117     -10.0743      1.00000
    118     -10.0462      1.00000
    119      -9.9565      1.00000
    120      -9.8557      1.00000
    121      -9.7702      1.00000
    122      -9.5418      1.00000
    123      -9.4842      1.00000
    124      -9.4562      1.00000
    125      -9.4275      1.00000
    126      -9.4017      1.00000
    127      -9.3681      1.00000
    128      -9.3029      1.00000
    129      -9.2147      1.00000
    130      -9.1501      1.00000
    131      -9.0376      1.00000
    132      -9.0144      1.00000
    133      -8.9899      1.00000
    134      -8.9679      1.00000
    135      -8.9350      1.00000
    136      -8.8659      1.00000
    137      -8.8483      1.00000
    138      -8.6916      1.00000
    139      -8.6345      1.00000
    140      -8.6290      1.00000
    141      -8.6181      1.00000
    142      -8.5819      1.00000
    143      -8.5773      1.00000
    144      -8.5680      1.00000
    145      -8.5464      1.00000
    146      -8.4957      1.00000
    147      -8.4853      1.00000
    148      -8.4666      1.00000
    149      -8.4336      1.00000
    150      -8.4226      1.00000
    151      -8.3791      1.00000
    152      -8.2487      1.00000
    153      -8.2454      1.00000
    154      -8.2227      1.00000
    155      -8.1396      1.00000
    156      -7.9510      1.00000
    157      -7.7126      1.00000
    158      -7.6151      1.00000
    159      -7.4792      1.00000
    160      -7.4126      1.00000
    161      -7.3750      1.00000
    162      -7.3423      1.00000
    163      -7.2547      1.00000
    164      -7.1846      1.00000
    165      -7.1601      1.00000
    166      -7.1013      1.00000
    167      -7.0734      1.00000
    168      -7.0625      1.00000
    169      -7.0249      1.00000
    170      -7.0164      1.00000
    171      -6.9931      1.00000
    172      -6.9758      1.00000
    173      -6.9268      1.00000
    174      -6.7759      1.00000
    175      -6.7387      1.00000
    176      -6.7109      1.00000
    177      -6.5041      1.00000
    178      -6.4884      1.00000
    179      -6.4240      1.00000
    180      -6.3312      1.00000
    181      -6.3187      1.00000
    182      -6.2893      1.00000
    183      -6.1801      1.00000
    184      -5.8288      1.00000
    185      -5.7782      1.00000
    186      -5.7365      1.00000
    187      -5.6676      1.00000
    188      -5.6311      1.00000
    189      -5.6188      1.00000
    190      -5.5321      1.00000
    191      -5.4428      1.00000
    192      -5.4308      1.00000
    193      -5.3043      1.00000
    194      -5.2715      1.00000
    195      -5.2667      1.00000
    196      -5.0930      1.00000
    197      -1.7320      1.00000
    198       0.4638      0.00000
    199       0.8634      0.00000
    200       1.1220      0.00000
    201       1.2675      0.00000
    202       1.2894      0.00000
    203       1.2970      0.00000
    204       1.3886      0.00000
    205       1.4044      0.00000
    206       1.4064      0.00000
    207       1.4338      0.00000
    208       1.4422      0.00000
    209       1.4743      0.00000
    210       1.4806      0.00000
    211       1.5150      0.00000
    212       1.5416      0.00000
    213       1.5722      0.00000
    214       1.5894      0.00000
    215       1.6784      0.00000
    216       1.6795      0.00000
    217       1.6853      0.00000
    218       1.6992      0.00000
    219       1.8056      0.00000
    220       1.8178      0.00000
    221       1.8715      0.00000
    222       1.8887      0.00000
    223       1.9518      0.00000
    224       2.2332      0.00000
    225       2.2386      0.00000
    226       2.2980      0.00000
    227       2.3162      0.00000
    228       2.3226      0.00000
    229       2.3442      0.00000
    230       2.3464      0.00000
    231       2.3716      0.00000
    232       2.3853      0.00000
    233       2.3944      0.00000
    234       2.4200      0.00000
    235       2.4731      0.00000
    236       2.4910      0.00000
    237       2.6436      0.00000
    238       2.7338      0.00000
    239       2.7409      0.00000
    240       2.7488      0.00000
    241       2.7666      0.00000
    242       2.8009      0.00000
    243       2.8744      0.00000
    244       2.8976      0.00000
    245       3.0057      0.00000
    246       3.0311      0.00000
    247       3.0803      0.00000
    248       3.0890      0.00000
    249       3.1261      0.00000
    250       3.1322      0.00000
    251       3.1490      0.00000
    252       3.3490      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.5473      1.00000
      2     -24.3665      1.00000
      3     -24.2013      1.00000
      4     -24.0573      1.00000
      5     -23.9749      1.00000
      6     -23.9372      1.00000
      7     -23.8838      1.00000
      8     -23.5587      1.00000
      9     -23.5176      1.00000
     10     -23.2688      1.00000
     11     -23.2044      1.00000
     12     -23.1778      1.00000
     13     -23.0973      1.00000
     14     -22.9487      1.00000
     15     -22.9393      1.00000
     16     -22.8844      1.00000
     17     -22.8110      1.00000
     18     -22.7506      1.00000
     19     -22.6137      1.00000
     20     -22.3571      1.00000
     21     -22.1442      1.00000
     22     -22.0190      1.00000
     23     -21.8901      1.00000
     24     -21.8660      1.00000
     25     -21.8192      1.00000
     26     -21.8058      1.00000
     27     -21.7846      1.00000
     28     -21.7653      1.00000
     29     -21.7379      1.00000
     30     -21.6527      1.00000
     31     -21.5951      1.00000
     32     -21.4860      1.00000
     33     -21.4199      1.00000
     34     -21.3775      1.00000
     35     -21.3284      1.00000
     36     -21.2519      1.00000
     37     -21.1659      1.00000
     38     -21.0166      1.00000
     39     -20.9383      1.00000
     40     -20.8825      1.00000
     41     -20.8656      1.00000
     42     -20.7975      1.00000
     43     -20.7772      1.00000
     44     -20.7656      1.00000
     45     -20.6962      1.00000
     46     -20.6400      1.00000
     47     -20.5873      1.00000
     48     -20.5612      1.00000
     49     -19.6681      1.00000
     50     -16.3827      1.00000
     51     -14.7796      1.00000
     52     -14.6803      1.00000
     53     -14.5689      1.00000
     54     -14.4796      1.00000
     55     -14.4379      1.00000
     56     -14.3925      1.00000
     57     -14.3189      1.00000
     58     -14.3022      1.00000
     59     -14.2608      1.00000
     60     -14.2198      1.00000
     61     -14.0485      1.00000
     62     -13.9349      1.00000
     63     -13.8590      1.00000
     64     -13.7339      1.00000
     65     -13.7061      1.00000
     66     -13.6234      1.00000
     67     -13.5703      1.00000
     68     -13.2766      1.00000
     69     -13.1966      1.00000
     70     -13.1696      1.00000
     71     -13.0843      1.00000
     72     -13.0517      1.00000
