
 Fermi energy:        -4.1149186725

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.0128      1.00000
      2     -24.2906      1.00000
      3     -24.0378      1.00000
      4     -23.9684      1.00000
      5     -23.9054      1.00000
      6     -23.8846      1.00000
      7     -23.8706      1.00000
      8     -23.5204      1.00000
      9     -23.2806      1.00000
     10     -23.1902      1.00000
     11     -23.1477      1.00000
     12     -23.1004      1.00000
     13     -23.0376      1.00000
     14     -22.8839      1.00000
     15     -22.8295      1.00000
     16     -22.7917      1.00000
     17     -22.7622      1.00000
     18     -22.7263      1.00000
     19     -22.5974      1.00000
     20     -22.1256      1.00000
     21     -22.0561      1.00000
     22     -21.9243      1.00000
     23     -21.8221      1.00000
     24     -21.7902      1.00000
     25     -21.7575      1.00000
     26     -21.7493      1.00000
     27     -21.7205      1.00000
     28     -21.7172      1.00000
     29     -21.7102      1.00000
     30     -21.6462      1.00000
     31     -21.5208      1.00000
     32     -21.4307      1.00000
     33     -21.3921      1.00000
     34     -21.3468      1.00000
     35     -21.2907      1.00000
     36     -21.2359      1.00000
     37     -21.1386      1.00000
     38     -20.9597      1.00000
     39     -20.8914      1.00000
     40     -20.8405      1.00000
     41     -20.8185      1.00000
     42     -20.7904      1.00000
     43     -20.7612      1.00000
     44     -20.6989      1.00000
     45     -20.6628      1.00000
     46     -20.6131      1.00000
     47     -20.5979      1.00000
     48     -20.5486      1.00000
     49     -20.4308      1.00000
     50     -16.7066      1.00000
     51     -14.5729      1.00000
     52     -14.5234      1.00000
     53     -14.4677      1.00000
     54     -14.4023      1.00000
     55     -14.3613      1.00000
     56     -14.3022      1.00000
     57     -14.2609      1.00000
     58     -14.2496      1.00000
     59     -14.2035      1.00000
     60     -14.1614      1.00000
     61     -13.9778      1.00000
     62     -13.8514      1.00000
     63     -13.7982      1.00000
     64     -13.6670      1.00000
     65     -13.6336      1.00000
     66     -13.5723      1.00000
     67     -13.5070      1.00000
     68     -13.3092      1.00000
     69     -13.1127      1.00000
     70     -13.0846      1.00000
     71     -13.0055      1.00000
     72     -12.9799      1.00000
     73     -12.9342      1.00000
     74     -12.9299      1.00000
     75     -12.8982      1.00000
     76     -12.8844      1.00000
     77     -12.8194      1.00000
     78     -12.7340      1.00000
     79     -12.6572      1.00000
     80     -12.5115      1.00000
     81     -12.2564      1.00000
     82     -12.2517      1.00000
     83     -12.1830      1.00000
     84     -12.0874      1.00000
     85     -11.8690      1.00000
     86     -11.6681      1.00000
     87     -11.5700      1.00000
     88     -11.5410      1.00000
     89     -11.4403      1.00000
     90     -11.3701      1.00000
     91     -11.1196      1.00000
     92     -11.0518      1.00000
     93     -11.0081      1.00000
     94     -10.8991      1.00000
     95     -10.6837      1.00000
     96     -10.6440      1.00000
     97     -10.5990      1.00000
     98     -10.5181      1.00000
     99     -10.4959      1.00000
    100     -10.4692      1.00000
    101     -10.4101      1.00000
    102     -10.3464      1.00000
    103     -10.2902      1.00000
    104     -10.2806      1.00000
    105     -10.2393      1.00000
    106     -10.1951      1.00000
    107     -10.1709      1.00000
    108     -10.1636      1.00000
    109     -10.1513      1.00000
    110     -10.1323      1.00000
    111     -10.1115      1.00000
    112     -10.0830      1.00000
    113     -10.0698      1.00000
    114     -10.0648      1.00000
    115     -10.0511      1.00000
    116     -10.0381      1.00000
    117     -10.0045      1.00000
    118      -9.9671      1.00000
    119      -9.9081      1.00000
    120      -9.7815      1.00000
    121      -9.7071      1.00000
    122      -9.5188      1.00000
    123      -9.4956      1.00000
    124      -9.4088      1.00000
    125      -9.3897      1.00000
    126      -9.3714      1.00000
    127      -9.3147      1.00000
    128      -9.2483      1.00000
    129      -9.0586      1.00000
    130      -8.9725      1.00000
    131      -8.9430      1.00000
    132      -8.9277      1.00000
    133      -8.9133      1.00000
    134      -8.8781      1.00000
    135      -8.8433      1.00000
    136      -8.7824      1.00000
    137      -8.7299      1.00000
    138      -8.6072      1.00000
    139      -8.5946      1.00000
    140      -8.5840      1.00000
    141      -8.5595      1.00000
    142      -8.5425      1.00000
    143      -8.5237      1.00000
    144      -8.4878      1.00000
    145      -8.4568      1.00000
    146      -8.4186      1.00000
    147      -8.4086      1.00000
    148      -8.3805      1.00000
    149      -8.3461      1.00000
    150      -8.3328      1.00000
    151      -8.2987      1.00000
    152      -8.1807      1.00000
