# freq/cm-1  Intensity 
-1.98235e+02   1.79095e-04
-1.97735e+02   1.79413e-04
-1.97235e+02   1.79733e-04
-1.96735e+02   1.80055e-04
-1.96235e+02   1.80378e-04
-1.95735e+02   1.80702e-04
-1.95235e+02   1.81027e-04
-1.94735e+02   1.81354e-04
-1.94235e+02   1.81683e-04
-1.93735e+02   1.82012e-04
-1.93235e+02   1.82344e-04
-1.92735e+02   1.82676e-04
-1.92235e+02   1.83010e-04
-1.91735e+02   1.83346e-04
-1.91235e+02   1.83683e-04
-1.90735e+02   1.84021e-04
-1.90235e+02   1.84361e-04
-1.89735e+02   1.84702e-04
-1.89235e+02   1.85045e-04
-1.88735e+02   1.85389e-04
-1.88235e+02   1.85735e-04
-1.87735e+02   1.86083e-04
-1.87235e+02   1.86432e-04
-1.86735e+02   1.86782e-04
-1.86235e+02   1.87134e-04
-1.85735e+02   1.87488e-04
-1.85235e+02   1.87843e-04
-1.84735e+02   1.88200e-04
-1.84235e+02   1.88559e-04
-1.83735e+02   1.88919e-04
-1.83235e+02   1.89281e-04
-1.82735e+02   1.89644e-04
-1.82235e+02   1.90009e-04
-1.81735e+02   1.90376e-04
-1.81235e+02   1.90745e-04
-1.80735e+02   1.91115e-04
-1.80235e+02   1.91487e-04
-1.79735e+02   1.91861e-04
-1.79235e+02   1.92236e-04
-1.78735e+02   1.92614e-04
-1.78235e+02   1.92993e-04
-1.77735e+02   1.93374e-04
-1.77235e+02   1.93756e-04
-1.76735e+02   1.94141e-04
-1.76235e+02   1.94527e-04
-1.75735e+02   1.94915e-04
-1.75235e+02   1.95305e-04
-1.74735e+02   1.95697e-04
-1.74235e+02   1.96091e-04
-1.73735e+02   1.96487e-04
-1.73235e+02   1.96885e-04
-1.72735e+02   1.97285e-04
-1.72235e+02   1.97686e-04
-1.71735e+02   1.98090e-04
-1.71235e+02   1.98496e-04
-1.70735e+02   1.98903e-04
-1.70235e+02   1.99313e-04
-1.69735e+02   1.99725e-04
-1.69235e+02   2.00139e-04
-1.68735e+02   2.00555e-04
-1.68235e+02   2.00973e-04
-1.67735e+02   2.01393e-04
-1.67235e+02   2.01816e-04
-1.66735e+02   2.02240e-04
-1.66235e+02   2.02667e-04
-1.65735e+02   2.03096e-04
-1.65235e+02   2.03527e-04
-1.64735e+02   2.03960e-04
-1.64235e+02   2.04396e-04
-1.63735e+02   2.04834e-04
-1.63235e+02   2.05274e-04
-1.62735e+02   2.05717e-04
-1.62235e+02   2.06162e-04
-1.61735e+02   2.06609e-04
-1.61235e+02   2.07059e-04
-1.60735e+02   2.07511e-04
-1.60235e+02   2.07966e-04
-1.59735e+02   2.08423e-04
-1.59235e+02   2.08883e-04
-1.58735e+02   2.09345e-04
-1.58235e+02   2.09809e-04
-1.57735e+02   2.10277e-04
-1.57235e+02   2.10746e-04
-1.56735e+02   2.11219e-04
-1.56235e+02   2.11694e-04
-1.55735e+02   2.12171e-04
-1.55235e+02   2.12652e-04
-1.54735e+02   2.13135e-04
-1.54235e+02   2.13620e-04
-1.53735e+02   2.14109e-04
-1.53235e+02   2.14600e-04
