
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4928      1.00000
      2     -24.1947      1.00000
      3     -24.1162      1.00000
      4     -24.0178      1.00000
      5     -23.9529      1.00000
      6     -23.9522      1.00000
      7     -23.8674      1.00000
      8     -23.3971      1.00000
      9     -23.2377      1.00000
     10     -23.2183      1.00000
     11     -23.1926      1.00000
     12     -23.1821      1.00000
     13     -23.0672      1.00000
     14     -22.8840      1.00000
     15     -22.8517      1.00000
     16     -22.8271      1.00000
     17     -22.8055      1.00000
     18     -22.7691      1.00000
     19     -22.5957      1.00000
     20     -22.0508      1.00000
     21     -21.9723      1.00000
     22     -21.9150      1.00000
     23     -21.8355      1.00000
     24     -21.8183      1.00000
     25     -21.7946      1.00000
     26     -21.7942      1.00000
     27     -21.7747      1.00000
     28     -21.7593      1.00000
     29     -21.7282      1.00000
     30     -21.6947      1.00000
     31     -21.5496      1.00000
     32     -21.4768      1.00000
     33     -21.4191      1.00000
     34     -21.3316      1.00000
     35     -21.3130      1.00000
     36     -21.2913      1.00000
     37     -21.1975      1.00000
     38     -20.9443      1.00000
     39     -20.9233      1.00000
     40     -20.8812      1.00000
     41     -20.8724      1.00000
     42     -20.8625      1.00000
     43     -20.7674      1.00000
     44     -20.7595      1.00000
     45     -20.6721      1.00000
     46     -20.6684      1.00000
     47     -20.6131      1.00000
     48     -20.6095      1.00000
     49     -19.1155      1.00000
     50     -14.6929      1.00000
     51     -14.5940      1.00000
     52     -14.5341      1.00000
     53     -14.5113      1.00000
     54     -14.4793      1.00000
     55     -14.3976      1.00000
     56     -14.3625      1.00000
     57     -14.2957      1.00000
     58     -14.2418      1.00000
     59     -14.2323      1.00000
     60     -14.2052      1.00000
     61     -14.0664      1.00000
     62     -13.7965      1.00000
     63     -13.7510      1.00000
     64     -13.7368      1.00000
     65     -13.6707      1.00000
     66     -13.6536      1.00000
     67     -13.5801      1.00000
     68     -13.1767      1.00000
     69     -13.1084      1.00000
     70     -13.0372      1.00000
     71     -12.9861      1.00000
     72     -12.9769      1.00000
     73     -12.9577      1.00000
     74     -12.9572      1.00000
     75     -12.9331      1.00000
     76     -12.9327      1.00000
     77     -12.8643      1.00000
     78     -12.7468      1.00000
     79     -12.7026      1.00000
     80     -12.4491      1.00000
     81     -12.2408      1.00000
     82     -12.2260      1.00000
     83     -12.1709      1.00000
     84     -12.1505      1.00000
     85     -11.9540      1.00000
     86     -11.5696      1.00000
     87     -11.4991      1.00000
     88     -11.4830      1.00000
     89     -11.4198      1.00000
     90     -11.3750      1.00000
     91     -11.1913      1.00000
     92     -10.9182      1.00000
     93     -10.7424      1.00000
     94     -10.7021      1.00000
     95     -10.6661      1.00000
     96     -10.6565      1.00000
     97     -10.6344      1.00000
     98     -10.5902      1.00000
     99     -10.4637      1.00000
    100     -10.4189      1.00000
    101     -10.3016      1.00000
    102     -10.2843      1.00000
    103     -10.2638      1.00000
    104     -10.2507      1.00000
    105     -10.2353      1.00000
    106     -10.2289      1.00000
    107     -10.1969      1.00000
    108     -10.1916      1.00000
    109     -10.1853      1.00000
    110     -10.1496      1.00000
    111     -10.1339      1.00000
    112     -10.1278      1.00000
    113     -10.1156      1.00000
    114     -10.1039      1.00000
    115     -10.0668      1.00000
    116     -10.0651      1.00000
    117     -10.0303      1.00000
    118     -10.0116      1.00000
    119      -9.9918      1.00000
    120      -9.7779      1.00000
    121      -9.7376      1.00000
    122      -9.5201      1.00000
    123      -9.4745      1.00000
    124      -9.4580      1.00000
    125      -9.4500      1.00000
    126      -9.4214      1.00000
    127      -9.3224      1.00000
    128      -9.2406      1.00000
    129      -9.1238      1.00000
    130      -9.0189      1.00000
    131      -9.0079      1.00000
    132      -8.9991      1.00000
    133      -8.9921      1.00000
    134      -8.9500      1.00000
    135      -8.8708      1.00000
    136      -8.7458      1.00000
    137      -8.6657      1.00000
    138      -8.6441      1.00000
    139      -8.6055      1.00000
    140      -8.5853      1.00000
    141      -8.5486      1.00000
    142      -8.5447      1.00000
    143      -8.5358      1.00000
    144      -8.5321      1.00000
    145      -8.5078      1.00000
    146      -8.4866      1.00000
    147      -8.4813      1.00000
    148      -8.4706      1.00000
    149      -8.4384      1.00000
    150      -8.4202      1.00000
    151      -8.3095      1.00000
    152      -8.2989      1.00000
    153      -8.1948      1.00000
    154      -8.1179      1.00000
    155      -7.9351      1.00000
    156      -7.8681      1.00000
    157      -7.7239      1.00000
