
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.6269      1.00000
      2     -24.4746      1.00000
      3     -24.1706      1.00000
      4     -24.0832      1.00000
      5     -24.0552      1.00000
      6     -24.0152      1.00000
      7     -23.9986      1.00000
      8     -23.7261      1.00000
      9     -23.3163      1.00000
     10     -23.2839      1.00000
     11     -23.2703      1.00000
     12     -23.2001      1.00000
     13     -23.1870      1.00000
     14     -23.0273      1.00000
     15     -22.9519      1.00000
     16     -22.9201      1.00000
     17     -22.8819      1.00000
     18     -22.8242      1.00000
     19     -22.7457      1.00000
     20     -22.2394      1.00000
     21     -22.0293      1.00000
     22     -21.9303      1.00000
     23     -21.9223      1.00000
     24     -21.9132      1.00000
     25     -21.8901      1.00000
     26     -21.8753      1.00000
     27     -21.8569      1.00000
     28     -21.8459      1.00000
     29     -21.8117      1.00000
     30     -21.7749      1.00000
     31     -21.6169      1.00000
     32     -21.5664      1.00000
     33     -21.4892      1.00000
     34     -21.4240      1.00000
     35     -21.4183      1.00000
     36     -21.3927      1.00000
     37     -21.2105      1.00000
     38     -21.0187      1.00000
     39     -20.9941      1.00000
     40     -20.9361      1.00000
     41     -20.9264      1.00000
     42     -20.9223      1.00000
     43     -20.8549      1.00000
     44     -20.8103      1.00000
     45     -20.7641      1.00000
     46     -20.7546      1.00000
     47     -20.6998      1.00000
     48     -20.6987      1.00000
     49     -17.6864      1.00000
     50     -15.0894      1.00000
     51     -14.7893      1.00000
     52     -14.6596      1.00000
     53     -14.6138      1.00000
     54     -14.5445      1.00000
     55     -14.5224      1.00000
     56     -14.4979      1.00000
     57     -14.4084      1.00000
     58     -14.3519      1.00000
     59     -14.3231      1.00000
     60     -14.2671      1.00000
     61     -14.1188      1.00000
     62     -14.0539      1.00000
     63     -13.8870      1.00000
     64     -13.8441      1.00000
     65     -13.7863      1.00000
     66     -13.6597      1.00000
     67     -13.6247      1.00000
     68     -13.4041      1.00000
     69     -13.2551      1.00000
     70     -13.1503      1.00000
     71     -13.0827      1.00000
     72     -13.0743      1.00000
     73     -13.0424      1.00000
     74     -13.0272      1.00000
     75     -13.0066      1.00000
     76     -12.9890      1.00000
     77     -12.9284      1.00000
     78     -12.7577      1.00000
     79     -12.5355      1.00000
     80     -12.4879      1.00000
     81     -12.3056      1.00000
     82     -12.3034      1.00000
     83     -12.2549      1.00000
     84     -12.2080      1.00000
     85     -12.0905      1.00000
     86     -11.7993      1.00000
     87     -11.6907      1.00000
     88     -11.6430      1.00000
     89     -11.5173      1.00000
     90     -11.4510      1.00000
     91     -11.3367      1.00000
     92     -11.1304      1.00000
     93     -10.9148      1.00000
     94     -10.8636      1.00000
     95     -10.8314      1.00000
     96     -10.7255      1.00000
     97     -10.6824      1.00000
     98     -10.6235      1.00000
     99     -10.6188      1.00000
    100     -10.5654      1.00000
    101     -10.4783      1.00000
    102     -10.4292      1.00000
    103     -10.3810      1.00000
    104     -10.3299      1.00000
    105     -10.3043      1.00000
    106     -10.2985      1.00000
    107     -10.2656      1.00000
    108     -10.2526      1.00000
    109     -10.2476      1.00000
    110     -10.2341      1.00000
    111     -10.2230      1.00000
    112     -10.2052      1.00000
    113     -10.1775      1.00000
    114     -10.1677      1.00000
    115     -10.1463      1.00000
    116     -10.1276      1.00000
    117     -10.1122      1.00000
    118     -10.0663      1.00000
    119      -9.9749      1.00000
    120      -9.8168      1.00000
    121      -9.6877      1.00000
    122      -9.6298      1.00000
    123      -9.6083      1.00000
    124      -9.5458      1.00000
    125      -9.4703      1.00000
    126      -9.4125      1.00000
    127      -9.2663      1.00000
    128      -9.1669      1.00000
    129      -9.1665      1.00000
