
 Fermi energy:         0.1397570480

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3721      1.00000
      2     -24.0058      1.00000
      3     -23.9907      1.00000
      4     -23.9574      1.00000
      5     -23.9510      1.00000
      6     -23.9244      1.00000
      7     -23.8406      1.00000
      8     -23.1969      1.00000
      9     -23.1915      1.00000
     10     -23.1664      1.00000
     11     -23.1562      1.00000
     12     -23.0867      1.00000
     13     -23.0192      1.00000
     14     -22.8236      1.00000
     15     -22.8108      1.00000
     16     -22.7638      1.00000
     17     -22.7507      1.00000
     18     -22.6869      1.00000
     19     -22.5494      1.00000
     20     -21.8915      1.00000
     21     -21.8803      1.00000
     22     -21.8245      1.00000
     23     -21.7902      1.00000
     24     -21.7630      1.00000
     25     -21.7496      1.00000
     26     -21.7321      1.00000
     27     -21.7235      1.00000
     28     -21.7144      1.00000
     29     -21.6734      1.00000
     30     -21.5380      1.00000
     31     -21.5099      1.00000
     32     -21.4114      1.00000
     33     -21.2992      1.00000
     34     -21.2480      1.00000
     35     -21.2145      1.00000
     36     -21.1636      1.00000
     37     -21.1451      1.00000
     38     -20.8984      1.00000
     39     -20.8474      1.00000
     40     -20.7989      1.00000
     41     -20.7988      1.00000
     42     -20.7366      1.00000
     43     -20.7345      1.00000
     44     -20.6388      1.00000
     45     -20.6040      1.00000
     46     -20.5419      1.00000
     47     -20.5385      1.00000
     48     -20.3410      1.00000
     49     -19.5049      1.00000
     50     -14.5999      1.00000
     51     -14.5429      1.00000
     52     -14.5322      1.00000
     53     -14.5221      1.00000
     54     -14.4794      1.00000
     55     -14.4731      1.00000
     56     -14.3467      1.00000
     57     -14.3323      1.00000
     58     -14.3191      1.00000
     59     -14.1711      1.00000
     60     -14.1406      1.00000
     61     -14.1346      1.00000
     62     -13.7522      1.00000
     63     -13.7405      1.00000
     64     -13.7211      1.00000
     65     -13.7196      1.00000
     66     -13.6167      1.00000
     67     -13.5717      1.00000
     68     -13.1200      1.00000
     69     -13.0636      1.00000
     70     -13.0449      1.00000
     71     -13.0438      1.00000
     72     -12.9100      1.00000
     73     -12.8988      1.00000
     74     -12.8968      1.00000
     75     -12.8792      1.00000
     76     -12.8567      1.00000
     77     -12.8242      1.00000
     78     -12.7738      1.00000
     79     -12.6851      1.00000
     80     -12.4057      1.00000
     81     -12.3315      1.00000
     82     -12.1743      1.00000
     83     -12.1689      1.00000
     84     -12.1371      1.00000
