# freq/cm-1  Intensity 
-1.96722e+02   5.04028e-05
-1.96222e+02   5.04401e-05
-1.95722e+02   5.04774e-05
-1.95222e+02   5.05148e-05
-1.94722e+02   5.05522e-05
-1.94222e+02   5.05897e-05
-1.93722e+02   5.06272e-05
-1.93222e+02   5.06648e-05
-1.92722e+02   5.07024e-05
-1.92222e+02   5.07400e-05
-1.91722e+02   5.07778e-05
-1.91222e+02   5.08155e-05
-1.90722e+02   5.08533e-05
-1.90222e+02   5.08912e-05
-1.89722e+02   5.09291e-05
-1.89222e+02   5.09671e-05
-1.88722e+02   5.10051e-05
-1.88222e+02   5.10432e-05
-1.87722e+02   5.10813e-05
-1.87222e+02   5.11194e-05
-1.86722e+02   5.11576e-05
-1.86222e+02   5.11959e-05
-1.85722e+02   5.12342e-05
-1.85222e+02   5.12726e-05
-1.84722e+02   5.13110e-05
-1.84222e+02   5.13495e-05
-1.83722e+02   5.13880e-05
-1.83222e+02   5.14266e-05
-1.82722e+02   5.14652e-05
-1.82222e+02   5.15039e-05
-1.81722e+02   5.15426e-05
-1.81222e+02   5.15813e-05
-1.80722e+02   5.16202e-05
-1.80222e+02   5.16590e-05
-1.79722e+02   5.16980e-05
-1.79222e+02   5.17370e-05
-1.78722e+02   5.17760e-05
-1.78222e+02   5.18151e-05
-1.77722e+02   5.18542e-05
-1.77222e+02   5.18934e-05
-1.76722e+02   5.19326e-05
-1.76222e+02   5.19719e-05
-1.75722e+02   5.20113e-05
-1.75222e+02   5.20507e-05
-1.74722e+02   5.20901e-05
-1.74222e+02   5.21296e-05
-1.73722e+02   5.21692e-05
-1.73222e+02   5.22088e-05
-1.72722e+02   5.22485e-05
-1.72222e+02   5.22882e-05
-1.71722e+02   5.23280e-05
-1.71222e+02   5.23678e-05
-1.70722e+02   5.24077e-05
-1.70222e+02   5.24476e-05
-1.69722e+02   5.24876e-05
-1.69222e+02   5.25277e-05
-1.68722e+02   5.25678e-05
-1.68222e+02   5.26079e-05
-1.67722e+02   5.26481e-05
-1.67222e+02   5.26884e-05
-1.66722e+02   5.27287e-05
-1.66222e+02   5.27691e-05
-1.65722e+02   5.28095e-05
