
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4154      1.00000
      2     -24.0674      1.00000
      3     -24.0393      1.00000
      4     -24.0119      1.00000
      5     -23.9838      1.00000
      6     -23.9590      1.00000
      7     -23.7684      1.00000
      8     -23.2394      1.00000
      9     -23.2229      1.00000
     10     -23.2051      1.00000
     11     -23.1719      1.00000
     12     -23.1437      1.00000
     13     -23.0385      1.00000
     14     -22.8402      1.00000
     15     -22.8314      1.00000
     16     -22.8258      1.00000
     17     -22.7834      1.00000
     18     -22.7253      1.00000
     19     -22.4352      1.00000
     20     -21.9065      1.00000
     21     -21.8727      1.00000
     22     -21.8520      1.00000
     23     -21.8294      1.00000
     24     -21.8239      1.00000
     25     -21.8157      1.00000
     26     -21.8079      1.00000
     27     -21.7958      1.00000
     28     -21.7658      1.00000
     29     -21.6706      1.00000
     30     -21.6298      1.00000
     31     -21.4941      1.00000
     32     -21.4149      1.00000
     33     -21.3667      1.00000
     34     -21.3618      1.00000
     35     -21.2925      1.00000
     36     -21.2018      1.00000
     37     -21.0022      1.00000
     38     -20.9412      1.00000
     39     -20.8922      1.00000
     40     -20.8819      1.00000
     41     -20.8328      1.00000
     42     -20.8053      1.00000
     43     -20.7781      1.00000
     44     -20.7093      1.00000
     45     -20.6921      1.00000
     46     -20.6422      1.00000
     47     -20.5468      1.00000
     48     -20.1876      1.00000
     49     -18.6199      1.00000
     50     -14.5481      1.00000
     51     -14.5179      1.00000
     52     -14.5023      1.00000
     53     -14.4539      1.00000
     54     -14.4498      1.00000
     55     -14.4070      1.00000
     56     -14.2976      1.00000
     57     -14.2750      1.00000
     58     -14.2440      1.00000
     59     -14.2127      1.00000
     60     -14.1882      1.00000
     61     -13.9928      1.00000
     62     -13.7444      1.00000
     63     -13.7175      1.00000
     64     -13.6716      1.00000
     65     -13.6100      1.00000
     66     -13.5701      1.00000
     67     -13.5280      1.00000
     68     -13.0432      1.00000
     69     -13.0323      1.00000
     70     -12.9972      1.00000
     71     -12.9871      1.00000
     72     -12.9730      1.00000
     73     -12.9572      1.00000
     74     -12.9324      1.00000
     75     -12.8980      1.00000
     76     -12.8356      1.00000
     77     -12.7893      1.00000
     78     -12.7453      1.00000
     79     -12.5772      1.00000
     80     -12.2722      1.00000
     81     -12.2521      1.00000
     82     -12.2099      1.00000
     83     -12.1305      1.00000
     84     -12.0893      1.00000
     85     -11.8084      1.00000
     86     -11.4848      1.00000
     87     -11.4516      1.00000
     88     -11.3954      1.00000
     89     -11.3711      1.00000
     90     -11.3581      1.00000
     91     -11.0368      1.00000
     92     -10.7569      1.00000
     93     -10.6797      1.00000
     94     -10.6757      1.00000
     95     -10.6562      1.00000
     96     -10.6295      1.00000
     97     -10.5988      1.00000
     98     -10.5620      1.00000
     99     -10.3516      1.00000
    100     -10.3272      1.00000
    101     -10.2945      1.00000
    102     -10.2690      1.00000
    103     -10.2589      1.00000
    104     -10.2489      1.00000
    105     -10.2247      1.00000
    106     -10.2140      1.00000
    107     -10.1922      1.00000
    108     -10.1760      1.00000
    109     -10.1619      1.00000
    110     -10.1508      1.00000
    111     -10.1493      1.00000
    112     -10.1206      1.00000
    113     -10.1079      1.00000
    114     -10.0961      1.00000
    115     -10.0675      1.00000
    116     -10.0511      1.00000
    117      -9.9887      1.00000
    118      -9.8975      1.00000
    119      -9.8687      1.00000
    120      -9.7031      1.00000
    121      -9.6817      1.00000
    122      -9.4940      1.00000
    123      -9.4793      1.00000
    124      -9.4394      1.00000
    125      -9.3397      1.00000
    126      -9.2811      1.00000
    127      -9.1566      1.00000
    128      -9.0901      1.00000
    129      -9.0345      1.00000
    130      -9.0217      1.00000
    131      -8.9942      1.00000
    132      -8.9894      1.00000
    133      -8.9438      1.00000
    134      -8.8290      1.00000
    135      -8.8183      1.00000
    136      -8.6908      1.00000
    137      -8.6436      1.00000
    138      -8.6330      1.00000
    139      -8.6171      1.00000
    140      -8.5975      1.00000
    141      -8.5833      1.00000
    142      -8.5159      1.00000
    143      -8.5071      1.00000
    144      -8.4923      1.00000
    145      -8.4807      1.00000
    146      -8.4677      1.00000
    147      -8.4595      1.00000
    148      -8.4331      1.00000
    149      -8.3920      1.00000
    150      -8.3860      1.00000
    151      -8.2532      1.00000
    152      -8.1606      1.00000
    153      -8.1356      1.00000
    154      -8.1222      1.00000
    155      -7.8320      1.00000
    156      -7.6314      1.00000
    157      -7.5562      1.00000
    158      -7.5529      1.00000
    159      -7.3420      1.00000
    160      -7.2300      1.00000
    161      -7.1891      1.00000
    162      -7.1142      1.00000
    163      -7.0877      1.00000
    164      -7.0626      1.00000
    165      -7.0471      1.00000
    166      -7.0388      1.00000
    167      -7.0269      1.00000
    168      -7.0194      1.00000
    169      -7.0025      1.00000
    170      -6.9942      1.00000
    171      -6.9904      1.00000
    172      -6.9448      1.00000
    173      -6.8405      1.00000
    174      -6.6857      1.00000
    175      -6.6583      1.00000
    176      -6.6302      1.00000
    177      -6.4191      1.00000
    178      -6.3857      1.00000
    179      -6.3665      1.00000
    180      -6.3416      1.00000
    181      -6.2427      1.00000
    182      -6.1015      1.00000
    183      -5.6628      1.00000
    184      -5.6357      1.00000
    185      -5.6217      1.00000
    186      -5.6095      1.00000
    187      -5.5230      1.00000
    188      -5.5019      1.00000
    189      -5.3919      1.00000
    190      -5.3332      1.00000
    191      -5.3171      1.00000
    192      -5.2997      1.00000
    193      -5.1762      1.00000
    194      -5.0132      1.00000
    195      -4.9147      1.00000
    196      -3.8439      1.00000
    197       0.7503      0.00000
    198       1.0905      0.00000
    199       1.1896      0.00000
    200       1.2936      0.00000
    201       1.3115      0.00000
    202       1.3324      0.00000
    203       1.3657      0.00000
    204       1.3731      0.00000
    205       1.3881      0.00000
    206       1.3992      0.00000
    207       1.4233      0.00000
    208       1.4452      0.00000
    209       1.4667      0.00000
    210       1.5016      0.00000
    211       1.5339      0.00000
    212       1.5408      0.00000
    213       1.5752      0.00000
    214       1.5845      0.00000
    215       1.6335      0.00000
    216       1.6766      0.00000
    217       1.6838      0.00000
    218       1.7840      0.00000
    219       1.7945      0.00000
    220       1.8637      0.00000
    221       1.9047      0.00000
    222       1.9365      0.00000
    223       2.2138      0.00000
    224       2.2269      0.00000
    225       2.2359      0.00000
    226       2.2799      0.00000
    227       2.2957      0.00000
    228       2.3050      0.00000
    229       2.3129      0.00000
    230       2.3205      0.00000
    231       2.3472      0.00000
    232       2.3575      0.00000
    233       2.3677      0.00000
    234       2.4104      0.00000
    235       2.4200      0.00000
    236       2.6944      0.00000
    237       2.7003      0.00000
    238       2.7074      0.00000
    239       2.7144      0.00000
    240       2.7350      0.00000
    241       2.7724      0.00000
    242       2.9257      0.00000
    243       2.9333      0.00000
    244       3.0398      0.00000
    245       3.0515      0.00000
    246       3.0724      0.00000
    247       3.0822      0.00000
    248       3.0927      0.00000
    249       3.0985      0.00000
    250       3.1200      0.00000
    251       3.1631      0.00000
    252       3.3233      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4004      1.00000
      2     -24.0530      1.00000
      3     -24.0247      1.00000
      4     -24.0052      1.00000
      5     -23.9624      1.00000
      6     -23.9406      1.00000
      7     -23.6948      1.00000
      8     -23.2243      1.00000
      9     -23.2062      1.00000
     10     -23.1933      1.00000
     11     -23.1260      1.00000
     12     -23.1189      1.00000
     13     -23.0175      1.00000
     14     -22.8200      1.00000
     15     -22.8185      1.00000
     16     -22.7971      1.00000
     17     -22.7113      1.00000
     18     -22.6785      1.00000
     19     -22.3285      1.00000
     20     -21.8787      1.00000
     21     -21.8482      1.00000
     22     -21.8332      1.00000
     23     -21.8214      1.00000
     24     -21.8079      1.00000
     25     -21.7988      1.00000
     26     -21.7878      1.00000
     27     -21.7605      1.00000
     28     -21.7406      1.00000
     29     -21.6047      1.00000
     30     -21.5936      1.00000
     31     -21.4718      1.00000
     32     -21.3751      1.00000
     33     -21.3455      1.00000
     34     -21.3302      1.00000
     35     -21.2200      1.00000
     36     -21.1646      1.00000
     37     -20.9502      1.00000
     38     -20.9127      1.00000
     39     -20.8766      1.00000
     40     -20.8641      1.00000
     41     -20.7983      1.00000
