# freq/cm-1  Intensity 
-1.72692e+02   2.46836e-05
-1.72192e+02   2.47053e-05
-1.71692e+02   2.47271e-05
-1.71192e+02   2.47490e-05
-1.70692e+02   2.47708e-05
-1.70192e+02   2.47927e-05
-1.69692e+02   2.48147e-05
-1.69192e+02   2.48367e-05
-1.68692e+02   2.48587e-05
-1.68192e+02   2.48808e-05
-1.67692e+02   2.49029e-05
-1.67192e+02   2.49251e-05
-1.66692e+02   2.49473e-05
-1.66192e+02   2.49695e-05
-1.65692e+02   2.49918e-05
-1.65192e+02   2.50141e-05
-1.64692e+02   2.50365e-05
-1.64192e+02   2.50589e-05
-1.63692e+02   2.50814e-05
-1.63192e+02   2.51039e-05
-1.62692e+02   2.51264e-05
-1.62192e+02   2.51490e-05
-1.61692e+02   2.51716e-05
-1.61192e+02   2.51943e-05
-1.60692e+02   2.52170e-05
-1.60192e+02   2.52397e-05
-1.59692e+02   2.52625e-05
-1.59192e+02   2.52854e-05
-1.58692e+02   2.53083e-05
-1.58192e+02   2.53312e-05
-1.57692e+02   2.53542e-05
-1.57192e+02   2.53772e-05
-1.56692e+02   2.54003e-05
-1.56192e+02   2.54234e-05
-1.55692e+02   2.54465e-05
-1.55192e+02   2.54697e-05
-1.54692e+02   2.54930e-05
-1.54192e+02   2.55163e-05
-1.53692e+02   2.55396e-05
-1.53192e+02   2.55630e-05
-1.52692e+02   2.55864e-05
-1.52192e+02   2.56099e-05
-1.51692e+02   2.56335e-05
-1.51192e+02   2.56570e-05
-1.50692e+02   2.56806e-05
-1.50192e+02   2.57043e-05
-1.49692e+02   2.57280e-05
-1.49192e+02   2.57518e-05
-1.48692e+02   2.57756e-05
-1.48192e+02   2.57995e-05
-1.47692e+02   2.58234e-05
-1.47192e+02   2.58473e-05
-1.46692e+02   2.58713e-05
-1.46192e+02   2.58954e-05
-1.45692e+02   2.59195e-05
-1.45192e+02   2.59437e-05
-1.44692e+02   2.59679e-05
-1.44192e+02   2.59921e-05
-1.43692e+02   2.60164e-05
-1.43192e+02   2.60408e-05
-1.42692e+02   2.60652e-05
-1.42192e+02   2.60897e-05
-1.41692e+02   2.61142e-05
-1.41192e+02   2.61387e-05
-1.40692e+02   2.61633e-05
-1.40192e+02   2.61880e-05
-1.39692e+02   2.62127e-05
-1.39192e+02   2.62375e-05
-1.38692e+02   2.62623e-05
-1.38192e+02   2.62872e-05
-1.37692e+02   2.63121e-05
-1.37192e+02   2.63371e-05
-1.36692e+02   2.63621e-05
-1.36192e+02   2.63872e-05
-1.35692e+02   2.64124e-05
-1.35192e+02   2.64376e-05
-1.34692e+02   2.64628e-05
-1.34192e+02   2.64881e-05
-1.33692e+02   2.65135e-05
-1.33192e+02   2.65389e-05
-1.32692e+02   2.65644e-05
-1.32192e+02   2.65899e-05
-1.31692e+02   2.66155e-05
-1.31192e+02   2.66411e-05
-1.30692e+02   2.66668e-05
-1.30192e+02   2.66926e-05
-1.29692e+02   2.67184e-05
-1.29192e+02   2.67443e-05
-1.28692e+02   2.67702e-05
-1.28192e+02   2.67962e-05
-1.27692e+02   2.68222e-05
-1.27192e+02   2.68483e-05
-1.26692e+02   2.68745e-05
-1.26192e+02   2.69007e-05
-1.25692e+02   2.69270e-05
-1.25192e+02   2.69533e-05
-1.24692e+02   2.69797e-05
-1.24192e+02   2.70062e-05
-1.23692e+02   2.70327e-05
-1.23192e+02   2.70593e-05
-1.22692e+02   2.70860e-05
-1.22192e+02   2.71127e-05
-1.21692e+02   2.71394e-05
-1.21192e+02   2.71663e-05
-1.20692e+02   2.71932e-05
-1.20192e+02   2.72201e-05
-1.19692e+02   2.72472e-05
-1.19192e+02   2.72743e-05
-1.18692e+02   2.73014e-05
