# freq/cm-1  Intensity 
-1.84645e+02   1.37815e-05
-1.84145e+02   1.37913e-05
-1.83645e+02   1.38010e-05
-1.83145e+02   1.38108e-05
-1.82645e+02   1.38205e-05
-1.82145e+02   1.38303e-05
-1.81645e+02   1.38401e-05
-1.81145e+02   1.38499e-05
-1.80645e+02   1.38597e-05
-1.80145e+02   1.38695e-05
-1.79645e+02   1.38794e-05
-1.79145e+02   1.38892e-05
-1.78645e+02   1.38991e-05
-1.78145e+02   1.39090e-05
-1.77645e+02   1.39189e-05
-1.77145e+02   1.39288e-05
-1.76645e+02   1.39387e-05
-1.76145e+02   1.39486e-05
-1.75645e+02   1.39586e-05
-1.75145e+02   1.39685e-05
-1.74645e+02   1.39785e-05
-1.74145e+02   1.39885e-05
-1.73645e+02   1.39985e-05
-1.73145e+02   1.40085e-05
-1.72645e+02   1.40185e-05
-1.72145e+02   1.40286e-05
-1.71645e+02   1.40386e-05
-1.71145e+02   1.40487e-05
-1.70645e+02   1.40588e-05
-1.70145e+02   1.40689e-05
-1.69645e+02   1.40790e-05
-1.69145e+02   1.40891e-05
-1.68645e+02   1.40992e-05
-1.68145e+02   1.41094e-05
-1.67645e+02   1.41195e-05
-1.67145e+02   1.41297e-05
-1.66645e+02   1.41399e-05
-1.66145e+02   1.41501e-05
-1.65645e+02   1.41603e-05
-1.65145e+02   1.41705e-05
-1.64645e+02   1.41808e-05
-1.64145e+02   1.41910e-05
-1.63645e+02   1.42013e-05
-1.63145e+02   1.42116e-05
-1.62645e+02   1.42219e-05
-1.62145e+02   1.42322e-05
-1.61645e+02   1.42425e-05
-1.61145e+02   1.42529e-05
-1.60645e+02   1.42632e-05
-1.60145e+02   1.42736e-05
-1.59645e+02   1.42840e-05
-1.59145e+02   1.42944e-05
-1.58645e+02   1.43048e-05
-1.58145e+02   1.43152e-05
-1.57645e+02   1.43257e-05
-1.57145e+02   1.43361e-05
-1.56645e+02   1.43466e-05
-1.56145e+02   1.43571e-05
-1.55645e+02   1.43676e-05
-1.55145e+02   1.43781e-05
-1.54645e+02   1.43887e-05
-1.54145e+02   1.43992e-05
-1.53645e+02   1.44098e-05
-1.53145e+02   1.44204e-05
-1.52645e+02   1.44310e-05
-1.52145e+02   1.44416e-05
-1.51645e+02   1.44522e-05
-1.51145e+02   1.44628e-05
-1.50645e+02   1.44735e-05
-1.50145e+02   1.44842e-05
-1.49645e+02   1.44949e-05
-1.49145e+02   1.45056e-05
-1.48645e+02   1.45163e-05
-1.48145e+02   1.45270e-05
-1.47645e+02   1.45378e-05
-1.47145e+02   1.45485e-05
-1.46645e+02   1.45593e-05
-1.46145e+02   1.45701e-05
-1.45645e+02   1.45809e-05
-1.45145e+02   1.45918e-05
-1.44645e+02   1.46026e-05
-1.44145e+02   1.46135e-05
-1.43645e+02   1.46243e-05
-1.43145e+02   1.46352e-05
-1.42645e+02   1.46462e-05
-1.42145e+02   1.46571e-05
-1.41645e+02   1.46680e-05
-1.41145e+02   1.46790e-05
-1.40645e+02   1.46900e-05
