
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2525      1.00000
      2     -23.9086      1.00000
      3     -23.9059      1.00000
      4     -23.8255      1.00000
      5     -23.7912      1.00000
      6     -23.7830      1.00000
      7     -23.6006      1.00000
      8     -23.0944      1.00000
      9     -23.0776      1.00000
     10     -23.0370      1.00000
     11     -22.9905      1.00000
     12     -22.9655      1.00000
     13     -22.8611      1.00000
     14     -22.6737      1.00000
     15     -22.6684      1.00000
     16     -22.6447      1.00000
     17     -22.6128      1.00000
     18     -22.5488      1.00000
     19     -22.3170      1.00000
     20     -21.7801      1.00000
     21     -21.7557      1.00000
     22     -21.7163      1.00000
     23     -21.6739      1.00000
     24     -21.6551      1.00000
     25     -21.6257      1.00000
     26     -21.6161      1.00000
     27     -21.5965      1.00000
     28     -21.5763      1.00000
     29     -21.5162      1.00000
     30     -21.4752      1.00000
     31     -21.3417      1.00000
     32     -21.2427      1.00000
     33     -21.2200      1.00000
     34     -21.1660      1.00000
     35     -21.1555      1.00000
     36     -21.0676      1.00000
     37     -20.9149      1.00000
     38     -20.7927      1.00000
     39     -20.7166      1.00000
     40     -20.7134      1.00000
     41     -20.6663      1.00000
     42     -20.6278      1.00000
     43     -20.5840      1.00000
     44     -20.5428      1.00000
     45     -20.5081      1.00000
     46     -20.4815      1.00000
     47     -20.4279      1.00000
     48     -20.2273      1.00000
     49     -14.9518      1.00000
     50     -14.4263      1.00000
     51     -14.3608      1.00000
     52     -14.3314      1.00000
     53     -14.2749      1.00000
     54     -14.2570      1.00000
     55     -14.2439      1.00000
     56     -14.1375      1.00000
     57     -14.1053      1.00000
     58     -14.0478      1.00000
     59     -14.0257      1.00000
     60     -13.9890      1.00000
     61     -13.8786      1.00000
     62     -13.5989      1.00000
     63     -13.5211      1.00000
     64     -13.4897      1.00000
     65     -13.4322      1.00000
     66     -13.4100      1.00000
     67     -13.3984      1.00000
     68     -12.8758      1.00000
     69     -12.8750      1.00000
     70     -12.8291      1.00000
     71     -12.8034      1.00000
     72     -12.8017      1.00000
     73     -12.7797      1.00000
     74     -12.7626      1.00000
     75     -12.6806      1.00000
     76     -12.6767      1.00000
     77     -12.6590      1.00000
     78     -12.6111      1.00000
     79     -12.2844      1.00000
     80     -12.1245      1.00000
     81     -12.1093      1.00000
     82     -12.0787      1.00000
     83     -11.9584      1.00000
     84     -11.9027      1.00000
     85     -11.8240      1.00000
     86     -11.3444      1.00000
     87     -11.2911      1.00000
     88     -11.2641      1.00000
     89     -11.2442      1.00000
     90     -11.2058      1.00000
     91     -10.8282      1.00000
     92     -10.5893      1.00000
     93     -10.5856      1.00000
     94     -10.5036      1.00000
     95     -10.4973      1.00000
     96     -10.4445      1.00000
     97     -10.4327      1.00000
     98     -10.4079      1.00000
     99     -10.1790      1.00000
    100     -10.1450      1.00000
    101     -10.1247      1.00000
    102     -10.1088      1.00000
    103     -10.0834      1.00000
    104     -10.0806      1.00000
    105     -10.0624      1.00000
    106     -10.0593      1.00000
    107     -10.0472      1.00000
    108     -10.0189      1.00000
    109     -10.0142      1.00000
    110     -10.0097      1.00000
    111      -9.9950      1.00000
    112      -9.9929      1.00000
    113      -9.9566      1.00000
    114      -9.9520      1.00000
    115      -9.9388      1.00000
    116      -9.9085      1.00000
    117      -9.9009      1.00000
    118      -9.7338      1.00000
    119      -9.6848      1.00000
    120      -9.5811      1.00000
    121      -9.5511      1.00000
    122      -9.2898      1.00000
    123      -9.2737      1.00000
    124      -9.2681      1.00000
    125      -9.1959      1.00000
    126      -9.0364      1.00000
    127      -8.9899      1.00000
    128      -8.9786      1.00000
    129      -8.8994      1.00000
    130      -8.8654      1.00000
    131      -8.8484      1.00000
    132      -8.8208      1.00000
    133      -8.7403      1.00000
    134      -8.6597      1.00000
    135      -8.5904      1.00000
    136      -8.5720      1.00000
    137      -8.5416      1.00000
    138      -8.5358      1.00000
    139      -8.4628      1.00000
    140      -8.4458      1.00000
    141      -8.4292      1.00000
    142      -8.4101      1.00000
    143      -8.4085      1.00000
    144      -8.3652      1.00000
    145      -8.3420      1.00000
    146      -8.3150      1.00000
    147      -8.3120      1.00000
    148      -8.2352      1.00000
    149      -8.1945      1.00000
    150      -8.1408      1.00000
    151      -8.0441      1.00000
    152      -8.0089      1.00000
    153      -7.9740      1.00000
    154      -7.8697      1.00000
    155      -7.6544      1.00000
    156      -7.4813      1.00000
    157      -7.4021      1.00000
    158      -7.3548      1.00000
    159      -7.1706      1.00000
    160      -7.1134      1.00000
    161      -7.0761      1.00000
    162      -7.0652      1.00000
    163      -6.9779      1.00000
    164      -6.9703      1.00000
    165      -6.9468      1.00000
    166      -6.8935      1.00000
    167      -6.8737      1.00000
    168      -6.8441      1.00000
    169      -6.8423      1.00000
    170      -6.8065      1.00000
    171      -6.7975      1.00000
    172      -6.6660      1.00000
    173      -6.5830      1.00000
    174      -6.5328      1.00000
    175      -6.4460      1.00000
    176      -6.3817      1.00000
    177      -6.2806      1.00000
    178      -6.2458      1.00000
    179      -6.2003      1.00000
    180      -6.1659      1.00000
    181      -6.0294      1.00000
    182      -5.9672      1.00000
    183      -5.5884      1.00000
    184      -5.5641      1.00000
    185      -5.4795      1.00000
