
 Fermi energy:        -1.7912924028

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9050      1.00000
      2     -23.5848      1.00000
      3     -23.5357      1.00000
      4     -23.5226      1.00000
      5     -23.3691      1.00000
      6     -23.3163      1.00000
      7     -22.9985      1.00000
      8     -22.6457      1.00000
      9     -22.6414      1.00000
     10     -22.6260      1.00000
     11     -22.6084      1.00000
     12     -22.6010      1.00000
     13     -22.5145      1.00000
     14     -22.2405      1.00000
     15     -22.1942      1.00000
     16     -22.1903      1.00000
     17     -22.0688      1.00000
     18     -21.9610      1.00000
     19     -21.6182      1.00000
     20     -21.3405      1.00000
     21     -21.3299      1.00000
     22     -21.3297      1.00000
     23     -21.3241      1.00000
     24     -21.3071      1.00000
     25     -21.3004      1.00000
     26     -21.1196      1.00000
     27     -21.1008      1.00000
     28     -21.0986      1.00000
     29     -21.0345      1.00000
     30     -21.0138      1.00000
     31     -20.9586      1.00000
     32     -20.7740      1.00000
     33     -20.7425      1.00000
     34     -20.7360      1.00000
     35     -20.6300      1.00000
     36     -20.5775      1.00000
     37     -20.3709      1.00000
     38     -20.3413      1.00000
     39     -20.3286      1.00000
     40     -20.3091      1.00000
     41     -20.2439      1.00000
     42     -20.2235      1.00000
     43     -20.2209      1.00000
     44     -20.1055      1.00000
     45     -20.0351      1.00000
     46     -19.8900      1.00000
     47     -19.2888      1.00000
     48     -18.9464      1.00000
     49     -14.0120      1.00000
     50     -13.9707      1.00000
     51     -13.9674      1.00000
     52     -13.9376      1.00000
     53     -13.9206      1.00000
     54     -13.9052      1.00000
     55     -13.8660      1.00000
     56     -13.7755      1.00000
     57     -13.7585      1.00000
     58     -13.4610      1.00000
     59     -13.3614      1.00000
     60     -13.3566      1.00000
     61     -13.3020      1.00000
     62     -13.1916      1.00000
     63     -13.1081      1.00000
     64     -13.0292      1.00000
     65     -12.9402      1.00000
     66     -12.9336      1.00000
     67     -12.9075      1.00000
     68     -12.4554      1.00000
     69     -12.4449      1.00000
     70     -12.4398      1.00000
     71     -12.4270      1.00000
     72     -12.3979      1.00000
     73     -12.3801      1.00000
     74     -12.2623      1.00000
     75     -12.1749      1.00000
     76     -12.0286      1.00000
     77     -11.9661      1.00000
     78     -11.9260      1.00000
     79     -11.7375      1.00000
     80     -11.7118      1.00000
     81     -11.5438      1.00000
     82     -11.5116      1.00000
     83     -11.4256      1.00000
     84     -11.3026      1.00000
     85     -11.1677      1.00000
     86     -10.8488      1.00000
     87     -10.7691      1.00000
     88     -10.7650      1.00000
     89     -10.6510      1.00000
     90     -10.6022      1.00000
     91     -10.3352      1.00000
     92     -10.1830      1.00000
     93     -10.1341      1.00000
     94     -10.1063      1.00000
     95     -10.0975      1.00000
     96     -10.0892      1.00000
     97     -10.0160      1.00000
     98      -9.9967      1.00000
     99      -9.7367      1.00000
    100      -9.7274      1.00000
    101      -9.7242      1.00000
    102      -9.7105      1.00000
    103      -9.7045      1.00000
    104      -9.6711      1.00000
    105      -9.6680      1.00000
    106      -9.6660      1.00000
    107      -9.6523      1.00000
    108      -9.5617      1.00000
    109      -9.5446      1.00000
    110      -9.5391      1.00000
    111      -9.4965      1.00000
    112      -9.4827      1.00000
    113      -9.4817      1.00000
    114      -9.4693      1.00000
    115      -9.4252      1.00000
    116      -9.4243      1.00000
    117      -9.3133      1.00000
    118      -9.2487      1.00000
    119      -9.1499      1.00000
    120      -9.0575      1.00000
    121      -8.9923      1.00000
    122      -8.9444      1.00000
    123      -8.9434      1.00000
    124      -8.8751      1.00000
    125      -8.5045      1.00000
    126      -8.4711      1.00000
    127      -8.4641      1.00000
    128      -8.4621      1.00000
    129      -8.4322      1.00000
    130      -8.4157      1.00000
    131      -8.3926      1.00000
    132      -8.3458      1.00000
    133      -8.3079      1.00000
    134      -8.1976      1.00000
    135      -8.1898      1.00000
    136      -8.1506      1.00000
    137      -8.1486      1.00000
    138      -8.1256      1.00000
    139      -8.0594      1.00000
    140      -7.9600      1.00000
    141      -7.9193      1.00000
    142      -7.9124      1.00000
    143      -7.8890      1.00000
