
 Fermi energy:        -2.1793312551

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2600      1.00000
      2     -23.8793      1.00000
      3     -23.8788      1.00000
      4     -23.8547      1.00000
      5     -23.8501      1.00000
      6     -23.8428      1.00000
      7     -23.7033      1.00000
      8     -23.0697      1.00000
      9     -23.0600      1.00000
     10     -23.0567      1.00000
     11     -23.0532      1.00000
     12     -23.0456      1.00000
     13     -22.9130      1.00000
     14     -22.6953      1.00000
     15     -22.6838      1.00000
     16     -22.6795      1.00000
     17     -22.6765      1.00000
     18     -22.6691      1.00000
     19     -22.4173      1.00000
     20     -21.7156      1.00000
     21     -21.7091      1.00000
     22     -21.6866      1.00000
     23     -21.6776      1.00000
     24     -21.6697      1.00000
     25     -21.6643      1.00000
     26     -21.6636      1.00000
     27     -21.6593      1.00000
     28     -21.6573      1.00000
     29     -21.6499      1.00000
     30     -21.6487      1.00000
     31     -21.4160      1.00000
     32     -21.2625      1.00000
     33     -21.2596      1.00000
     34     -21.2317      1.00000
     35     -21.2258      1.00000
     36     -21.2248      1.00000
     37     -20.9771      1.00000
     38     -20.7777      1.00000
     39     -20.7505      1.00000
     40     -20.7463      1.00000
     41     -20.7430      1.00000
     42     -20.7420      1.00000
     43     -20.6378      1.00000
     44     -20.6051      1.00000
     45     -20.5608      1.00000
     46     -20.5602      1.00000
     47     -20.5550      1.00000
     48     -20.5525      1.00000
     49     -14.5680      1.00000
     50     -14.3934      1.00000
     51     -14.3724      1.00000
     52     -14.3710      1.00000
     53     -14.3628      1.00000
     54     -14.2860      1.00000
     55     -14.2767      1.00000
     56     -14.1797      1.00000
     57     -14.1451      1.00000
     58     -14.1448      1.00000
     59     -14.0393      1.00000
     60     -14.0071      1.00000
     61     -13.9261      1.00000
     62     -13.6050      1.00000
     63     -13.6043      1.00000
     64     -13.5762      1.00000
     65     -13.5019      1.00000
     66     -13.4264      1.00000
     67     -13.4089      1.00000
     68     -12.8871      1.00000
     69     -12.8833      1.00000
     70     -12.8674      1.00000
     71     -12.8627      1.00000
     72     -12.8470      1.00000
     73     -12.8431      1.00000
     74     -12.8425      1.00000
     75     -12.8376      1.00000
     76     -12.8323      1.00000
     77     -12.6547      1.00000
     78     -12.5444      1.00000
     79     -12.4212      1.00000
     80     -12.1379      1.00000
     81     -12.1287      1.00000
     82     -12.1175      1.00000
     83     -12.1106      1.00000
     84     -11.9232      1.00000
     85     -11.9184      1.00000
     86     -11.4048      1.00000
     87     -11.3625      1.00000
     88     -11.3610      1.00000
     89     -11.3480      1.00000
     90     -11.1843      1.00000
     91     -11.1638      1.00000
     92     -10.6020      1.00000
     93     -10.5952      1.00000
     94     -10.5583      1.00000
     95     -10.5545      1.00000
     96     -10.5062      1.00000
     97     -10.4676      1.00000
     98     -10.4583      1.00000
     99     -10.2796      1.00000
    100     -10.1853      1.00000
    101     -10.1638      1.00000
    102     -10.1511      1.00000
    103     -10.1213      1.00000
    104     -10.1192      1.00000
    105     -10.0915      1.00000
    106     -10.0872      1.00000
    107     -10.0850      1.00000
    108     -10.0622      1.00000
    109     -10.0477      1.00000
    110     -10.0455      1.00000
    111     -10.0423      1.00000
    112     -10.0419      1.00000
    113     -10.0355      1.00000
    114     -10.0247      1.00000
    115      -9.9780      1.00000
    116      -9.9684      1.00000
    117      -9.9589      1.00000
    118      -9.9475      1.00000
    119      -9.9407      1.00000
    120      -9.6337      1.00000
    121      -9.5882      1.00000
    122      -9.5750      1.00000
    123      -9.3575      1.00000
    124      -9.3100      1.00000
    125      -9.3086      1.00000
    126      -9.2971      1.00000
    127      -9.0663      1.00000
    128      -9.0595      1.00000
    129      -8.9158      1.00000
    130      -8.8800      1.00000
    131      -8.8726      1.00000
    132      -8.8645      1.00000
    133      -8.8430      1.00000
    134      -8.6584      1.00000
    135      -8.6236      1.00000
    136      -8.5985      1.00000
    137      -8.5956      1.00000
    138      -8.5718      1.00000
    139      -8.5085      1.00000
    140      -8.5035      1.00000
