
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2719      1.00000
      2     -23.9242      1.00000
      3     -23.9125      1.00000
      4     -23.8741      1.00000
      5     -23.8068      1.00000
      6     -23.7171      1.00000
      7     -23.4773      1.00000
      8     -23.0479      1.00000
      9     -23.0317      1.00000
     10     -23.0225      1.00000
     11     -22.9911      1.00000
     12     -22.9813      1.00000
     13     -22.8979      1.00000
     14     -22.6411      1.00000
     15     -22.6280      1.00000
     16     -22.5960      1.00000
     17     -22.5693      1.00000
     18     -22.4295      1.00000
     19     -22.1634      1.00000
     20     -21.7172      1.00000
     21     -21.7052      1.00000
     22     -21.7002      1.00000
     23     -21.6921      1.00000
     24     -21.6639      1.00000
     25     -21.6578      1.00000
     26     -21.5665      1.00000
     27     -21.5355      1.00000
     28     -21.5256      1.00000
     29     -21.4716      1.00000
     30     -21.4443      1.00000
     31     -21.3301      1.00000
     32     -21.1705      1.00000
     33     -21.1631      1.00000
     34     -21.1600      1.00000
     35     -21.0727      1.00000
     36     -21.0059      1.00000
     37     -20.8298      1.00000
     38     -20.7529      1.00000
     39     -20.7088      1.00000
     40     -20.7063      1.00000
     41     -20.6657      1.00000
     42     -20.6486      1.00000
     43     -20.5991      1.00000
     44     -20.5273      1.00000
     45     -20.5081      1.00000
     46     -20.4170      1.00000
     47     -20.2776      1.00000
     48     -19.9416      1.00000
     49     -14.5016      1.00000
     50     -14.3858      1.00000
     51     -14.3443      1.00000
     52     -14.3334      1.00000
     53     -14.3146      1.00000
     54     -14.3042      1.00000
     55     -14.2866      1.00000
     56     -14.1336      1.00000
     57     -14.1133      1.00000
     58     -13.9755      1.00000
     59     -13.8871      1.00000
     60     -13.8355      1.00000
     61     -13.7766      1.00000
     62     -13.5543      1.00000
     63     -13.5437      1.00000
     64     -13.4775      1.00000
     65     -13.4183      1.00000
     66     -13.3855      1.00000
     67     -13.3146      1.00000
     68     -12.8537      1.00000
     69     -12.8508      1.00000
     70     -12.8230      1.00000
     71     -12.8126      1.00000
     72     -12.8109      1.00000
     73     -12.7776      1.00000
     74     -12.7227      1.00000
     75     -12.5946      1.00000
     76     -12.5838      1.00000
     77     -12.5032      1.00000
     78     -12.3992      1.00000
     79     -12.1131      1.00000
     80     -12.1054      1.00000
     81     -11.9838      1.00000
     82     -11.9657      1.00000
     83     -11.8622      1.00000
     84     -11.7277      1.00000
     85     -11.6449      1.00000
     86     -11.2728      1.00000
     87     -11.2211      1.00000
     88     -11.1749      1.00000
     89     -11.0759      1.00000
     90     -11.0112      1.00000
     91     -10.7106      1.00000
     92     -10.5611      1.00000
     93     -10.5323      1.00000
     94     -10.5078      1.00000
     95     -10.4855      1.00000
     96     -10.4492      1.00000
     97     -10.4236      1.00000
     98     -10.3853      1.00000
     99     -10.1409      1.00000
    100     -10.1343      1.00000
    101     -10.1060      1.00000
    102     -10.0989      1.00000
    103     -10.0793      1.00000
    104     -10.0414      1.00000
    105     -10.0391      1.00000
    106     -10.0249      1.00000
    107     -10.0228      1.00000
    108     -10.0120      1.00000
    109      -9.9938      1.00000
    110      -9.9455      1.00000
    111      -9.9132      1.00000
    112      -9.9129      1.00000
    113      -9.8863      1.00000
    114      -9.8605      1.00000
    115      -9.8443      1.00000
    116      -9.8306      1.00000
    117      -9.6246      1.00000
    118      -9.6094      1.00000
    119      -9.5697      1.00000
    120      -9.4124      1.00000
    121      -9.3802      1.00000
    122      -9.3621      1.00000
    123      -9.3587      1.00000
    124      -9.2701      1.00000
    125      -9.0233      1.00000
    126      -8.9266      1.00000
    127      -8.8461      1.00000
    128      -8.8443      1.00000
