
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.9598      1.00000
      2     -25.3282      1.00000
      3     -24.6124      1.00000
      4     -24.3908      1.00000
      5     -24.1728      1.00000
      6     -24.0854      1.00000
      7     -23.9995      1.00000
      8     -23.8690      1.00000
      9     -23.6968      1.00000
     10     -23.5966      1.00000
     11     -23.3755      1.00000
     12     -23.3591      1.00000
     13     -23.1883      1.00000
     14     -23.0961      1.00000
     15     -23.0524      1.00000
     16     -22.9106      1.00000
     17     -22.8692      1.00000
     18     -22.7289      1.00000
     19     -22.6621      1.00000
     20     -22.5883      1.00000
     21     -22.3525      1.00000
     22     -22.2566      1.00000
     23     -22.1536      1.00000
     24     -21.9626      1.00000
     25     -21.8830      1.00000
     26     -21.8749      1.00000
     27     -21.8364      1.00000
     28     -21.7782      1.00000
     29     -21.7441      1.00000
     30     -21.6951      1.00000
     31     -21.5680      1.00000
     32     -21.4801      1.00000
     33     -21.4299      1.00000
     34     -21.3716      1.00000
     35     -21.3003      1.00000
     36     -21.2531      1.00000
     37     -21.1782      1.00000
     38     -21.1236      1.00000
     39     -20.9792      1.00000
     40     -20.9171      1.00000
     41     -20.8506      1.00000
     42     -20.7974      1.00000
     43     -20.7321      1.00000
     44     -20.6933      1.00000
     45     -20.6369      1.00000
     46     -20.5133      1.00000
     47     -20.4498      1.00000
     48     -20.0119      1.00000
     49     -19.0702      1.00000
     50     -17.7598      1.00000
     51     -15.5218      1.00000
     52     -15.2200      1.00000
     53     -15.0570      1.00000
     54     -14.6648      1.00000
     55     -14.4958      1.00000
     56     -14.4228      1.00000
     57     -14.4163      1.00000
     58     -14.3629      1.00000
     59     -14.2814      1.00000
     60     -14.2102      1.00000
     61     -14.1648      1.00000
     62     -14.1007      1.00000
     63     -13.9418      1.00000
     64     -13.8282      1.00000
     65     -13.7646      1.00000
     66     -13.6336      1.00000
     67     -13.5677      1.00000
     68     -13.5217      1.00000
     69     -13.3967      1.00000
     70     -13.3263      1.00000
     71     -13.2297      1.00000
     72     -13.1252      1.00000
     73     -13.1016      1.00000
     74     -12.9637      1.00000
     75     -12.9549      1.00000
     76     -12.8879      1.00000
     77     -12.8342      1.00000
