# freq/cm-1  Intensity 
-1.87941e+02   7.94072e-05
-1.87441e+02   7.94710e-05
-1.86941e+02   7.95349e-05
-1.86441e+02   7.95989e-05
-1.85941e+02   7.96630e-05
-1.85441e+02   7.97272e-05
-1.84941e+02   7.97914e-05
-1.84441e+02   7.98558e-05
-1.83941e+02   7.99203e-05
-1.83441e+02   7.99848e-05
-1.82941e+02   8.00495e-05
-1.82441e+02   8.01142e-05
-1.81941e+02   8.01790e-05
-1.81441e+02   8.02440e-05
-1.80941e+02   8.03090e-05
-1.80441e+02   8.03741e-05
-1.79941e+02   8.04393e-05
-1.79441e+02   8.05046e-05
-1.78941e+02   8.05701e-05
-1.78441e+02   8.06356e-05
-1.77941e+02   8.07012e-05
-1.77441e+02   8.07669e-05
-1.76941e+02   8.08327e-05
-1.76441e+02   8.08986e-05
-1.75941e+02   8.09646e-05
-1.75441e+02   8.10306e-05
-1.74941e+02   8.10968e-05
-1.74441e+02   8.11631e-05
-1.73941e+02   8.12295e-05
-1.73441e+02   8.12960e-05
-1.72941e+02   8.13626e-05
-1.72441e+02   8.14293e-05
-1.71941e+02   8.14960e-05
-1.71441e+02   8.15629e-05
-1.70941e+02   8.16299e-05
-1.70441e+02   8.16970e-05
-1.69941e+02   8.17642e-05
-1.69441e+02   8.18315e-05
-1.68941e+02   8.18989e-05
-1.68441e+02   8.19664e-05
-1.67941e+02   8.20340e-05
-1.67441e+02   8.21016e-05
-1.66941e+02   8.21694e-05
-1.66441e+02   8.22374e-05
-1.65941e+02   8.23054e-05
-1.65441e+02   8.23735e-05
-1.64941e+02   8.24417e-05
-1.64441e+02   8.25100e-05
-1.63941e+02   8.25784e-05
-1.63441e+02   8.26469e-05
-1.62941e+02   8.27156e-05
-1.62441e+02   8.27843e-05
-1.61941e+02   8.28531e-05
-1.61441e+02   8.29221e-05
-1.60941e+02   8.29911e-05
-1.60441e+02   8.30603e-05
-1.59941e+02   8.31296e-05
-1.59441e+02   8.31990e-05
-1.58941e+02   8.32684e-05
-1.58441e+02   8.33380e-05
-1.57941e+02   8.34077e-05
-1.57441e+02   8.34775e-05
-1.56941e+02   8.35474e-05
-1.56441e+02   8.36175e-05
-1.55941e+02   8.36876e-05
-1.55441e+02   8.37578e-05
-1.54941e+02   8.38282e-05
-1.54441e+02   8.38987e-05
-1.53941e+02   8.39692e-05
-1.53441e+02   8.40399e-05
-1.52941e+02   8.41107e-05
-1.52441e+02   8.41816e-05
-1.51941e+02   8.42526e-05
-1.51441e+02   8.43238e-05
-1.50941e+02   8.43950e-05
-1.50441e+02   8.44664e-05
