
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.5498      1.00000
      2     -24.3509      1.00000
      3     -24.1456      1.00000
      4     -24.0587      1.00000
      5     -23.9896      1.00000
      6     -23.9366      1.00000
      7     -23.8395      1.00000
      8     -23.5031      1.00000
      9     -23.3603      1.00000
     10     -23.2610      1.00000
     11     -23.2057      1.00000
     12     -23.1793      1.00000
     13     -23.0857      1.00000
     14     -22.9284      1.00000
     15     -22.8857      1.00000
     16     -22.8446      1.00000
     17     -22.7765      1.00000
     18     -22.7545      1.00000
     19     -22.5457      1.00000
     20     -22.1316      1.00000
     21     -22.0547      1.00000
     22     -21.9756      1.00000
     23     -21.9070      1.00000
     24     -21.8662      1.00000
     25     -21.8507      1.00000
     26     -21.7931      1.00000
     27     -21.7888      1.00000
     28     -21.7494      1.00000
     29     -21.7177      1.00000
     30     -21.6880      1.00000
     31     -21.5503      1.00000
     32     -21.4472      1.00000
     33     -21.4387      1.00000
     34     -21.3588      1.00000
     35     -21.2979      1.00000
     36     -21.2766      1.00000
     37     -21.1649      1.00000
     38     -20.9996      1.00000
     39     -20.9509      1.00000
     40     -20.9048      1.00000
     41     -20.8654      1.00000
     42     -20.8065      1.00000
     43     -20.7761      1.00000
     44     -20.7402      1.00000
     45     -20.6864      1.00000
     46     -20.6472      1.00000
     47     -20.5408      1.00000
     48     -20.4227      1.00000
     49     -19.7822      1.00000
     50     -17.1628      1.00000
     51     -14.6772      1.00000
     52     -14.5514      1.00000
     53     -14.5287      1.00000
     54     -14.4829      1.00000
     55     -14.4246      1.00000
     56     -14.3574      1.00000
     57     -14.3367      1.00000
     58     -14.2865      1.00000
     59     -14.2390      1.00000
     60     -14.1431      1.00000
     61     -14.0279      1.00000
     62     -13.8645      1.00000
     63     -13.8227      1.00000
     64     -13.7443      1.00000
     65     -13.6315      1.00000
     66     -13.6235      1.00000
     67     -13.5139      1.00000
     68     -13.3796      1.00000
     69     -13.1198      1.00000
     70     -13.0950      1.00000
     71     -13.0282      1.00000
     72     -12.9995      1.00000
     73     -12.9603      1.00000
     74     -12.9445      1.00000
     75     -12.9239      1.00000
     76     -12.8770      1.00000
     77     -12.8380      1.00000
     78     -12.7445      1.00000
     79     -12.6388      1.00000
     80     -12.4539      1.00000
     81     -12.2802      1.00000
     82     -12.2319      1.00000
     83     -12.1852      1.00000
     84     -12.1196      1.00000
     85     -11.9181      1.00000
     86     -11.6659      1.00000
     87     -11.5619      1.00000
     88     -11.5070      1.00000
     89     -11.4614      1.00000
     90     -11.3898      1.00000
     91     -11.1240      1.00000
     92     -11.0686      1.00000
     93     -10.9713      1.00000
     94     -10.7691      1.00000
     95     -10.6893      1.00000
     96     -10.6671      1.00000
     97     -10.6367      1.00000
     98     -10.6058      1.00000
     99     -10.5808      1.00000
    100     -10.5044      1.00000
    101     -10.3765      1.00000
    102     -10.3649      1.00000
    103     -10.3317      1.00000
    104     -10.3183      1.00000
    105     -10.2912      1.00000
    106     -10.2360      1.00000
    107     -10.2279      1.00000
    108     -10.2061      1.00000
    109     -10.2001      1.00000
    110     -10.1627      1.00000
    111     -10.1577      1.00000
    112     -10.1344      1.00000
    113     -10.1071      1.00000
    114     -10.1034      1.00000
    115     -10.0766      1.00000
    116     -10.0707      1.00000
    117     -10.0214      1.00000
    118     -10.0017      1.00000
    119      -9.8590      1.00000
    120      -9.8247      1.00000
    121      -9.7070      1.00000
    122      -9.6153      1.00000
    123      -9.4754      1.00000
    124      -9.4704      1.00000
    125      -9.4363      1.00000
    126      -9.4132      1.00000
    127      -9.2664      1.00000
    128      -9.2037      1.00000
    129      -9.1331      1.00000
    130      -9.0526      1.00000
    131      -9.0290      1.00000
    132      -8.9751      1.00000
    133      -8.9466      1.00000
    134      -8.8708      1.00000
    135      -8.8379      1.00000
    136      -8.7825      1.00000
    137      -8.7377      1.00000
    138      -8.6990      1.00000
    139      -8.6850      1.00000
    140      -8.6209      1.00000
    141      -8.5969      1.00000
    142      -8.5696      1.00000
    143      -8.5583      1.00000
    144      -8.5251      1.00000
    145      -8.4984      1.00000
    146      -8.4658      1.00000
    147      -8.4343      1.00000
    148      -8.3959      1.00000
    149      -8.3802      1.00000
    150      -8.2976      1.00000
    151      -8.2588      1.00000
    152      -8.1800      1.00000
    153      -8.1629      1.00000
    154      -8.1436      1.00000
    155      -8.0751      1.00000
    156      -7.7319      1.00000
    157      -7.6875      1.00000
    158      -7.5425      1.00000
    159      -7.4608      1.00000
    160      -7.3481      1.00000
    161      -7.2877      1.00000
    162      -7.2620      1.00000
    163      -7.2295      1.00000
    164      -7.1552      1.00000
    165      -7.0874      1.00000
    166      -7.0632      1.00000
    167      -7.0348      1.00000
    168      -7.0055      1.00000
    169      -6.9959      1.00000
    170      -6.9467      1.00000
    171      -6.9378      1.00000
    172      -6.9014      1.00000
    173      -6.8435      1.00000
    174      -6.7199      1.00000
    175      -6.6168      1.00000
    176      -6.5928      1.00000
    177      -6.5367      1.00000
    178      -6.4780      1.00000
    179      -6.4220      1.00000
    180      -6.2926      1.00000
    181      -6.2760      1.00000
    182      -6.1612      1.00000
    183      -5.9973      1.00000
    184      -5.8328      1.00000
    185      -5.6947      1.00000
    186      -5.6411      1.00000
    187      -5.6045      1.00000
    188      -5.5833      1.00000
    189      -5.5287      1.00000
    190      -5.4615      1.00000
    191      -5.4019      1.00000
    192      -5.3595      1.00000
    193      -5.2875      1.00000
    194      -5.2175      1.00000
    195      -5.0945      1.00000
    196      -4.8565      1.00000
    197      -4.4582      1.00000
    198       0.3291      0.00000
    199       0.7773      0.00000
    200       0.9004      0.00000
    201       1.2131      0.00000
    202       1.2787      0.00000
    203       1.3290      0.00000
    204       1.3493      0.00000
    205       1.3758      0.00000
    206       1.3943      0.00000
    207       1.4096      0.00000
    208       1.4269      0.00000
    209       1.4334      0.00000
    210       1.4713      0.00000
