
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3696      1.00000
      2     -24.0466      1.00000
      3     -23.9954      1.00000
      4     -23.9414      1.00000
      5     -23.9183      1.00000
      6     -23.8964      1.00000
      7     -23.6825      1.00000
      8     -23.2150      1.00000
      9     -23.1918      1.00000
     10     -23.1429      1.00000
     11     -23.1142      1.00000
     12     -23.0667      1.00000
     13     -22.9645      1.00000
     14     -22.8005      1.00000
     15     -22.7780      1.00000
     16     -22.7703      1.00000
     17     -22.7078      1.00000
     18     -22.6390      1.00000
     19     -22.3190      1.00000
     20     -21.8966      1.00000
     21     -21.8776      1.00000
     22     -21.8100      1.00000
     23     -21.7873      1.00000
     24     -21.7653      1.00000
     25     -21.7481      1.00000
     26     -21.7380      1.00000
     27     -21.7003      1.00000
     28     -21.6892      1.00000
     29     -21.6280      1.00000
     30     -21.5491      1.00000
     31     -21.4333      1.00000
     32     -21.3718      1.00000
     33     -21.3044      1.00000
     34     -21.2787      1.00000
     35     -21.2455      1.00000
     36     -21.1447      1.00000
     37     -20.9311      1.00000
     38     -20.9127      1.00000
     39     -20.8461      1.00000
     40     -20.8143      1.00000
     41     -20.7863      1.00000
     42     -20.7192      1.00000
     43     -20.6968      1.00000
     44     -20.6540      1.00000
     45     -20.6271      1.00000
     46     -20.5487      1.00000
     47     -20.5213      1.00000
     48     -19.1780      1.00000
     49     -18.9834      1.00000
     50     -14.5546      1.00000
     51     -14.4944      1.00000
     52     -14.4371      1.00000
     53     -14.3907      1.00000
     54     -14.3859      1.00000
     55     -14.3633      1.00000
     56     -14.2883      1.00000
     57     -14.2439      1.00000
     58     -14.2104      1.00000
     59     -14.1394      1.00000
     60     -14.0741      1.00000
     61     -13.9505      1.00000
     62     -13.7140      1.00000
     63     -13.7106      1.00000
     64     -13.6324      1.00000
     65     -13.5233      1.00000
     66     -13.4692      1.00000
     67     -13.4430      1.00000
     68     -13.1216      1.00000
     69     -13.0140      1.00000
     70     -12.9874      1.00000
     71     -12.9604      1.00000
     72     -12.9397      1.00000
     73     -12.9110      1.00000
     74     -12.8939      1.00000
     75     -12.8680      1.00000
     76     -12.7972      1.00000
     77     -12.6829      1.00000
     78     -12.5793      1.00000
     79     -12.5087      1.00000
     80     -12.2600      1.00000
     81     -12.2019      1.00000
     82     -12.1817      1.00000
     83     -12.0488      1.00000
     84     -11.9567      1.00000
     85     -11.8040      1.00000
     86     -11.5382      1.00000
     87     -11.4292      1.00000
     88     -11.3764      1.00000
     89     -11.3112      1.00000
     90     -11.2619      1.00000
     91     -10.9225      1.00000
     92     -10.7194      1.00000
     93     -10.6720      1.00000
     94     -10.6248      1.00000
     95     -10.6078      1.00000
     96     -10.5778      1.00000
     97     -10.5491      1.00000
     98     -10.5149      1.00000
     99     -10.3697      1.00000
    100     -10.3281      1.00000
    101     -10.2616      1.00000
    102     -10.2384      1.00000
    103     -10.2249      1.00000
    104     -10.1812      1.00000
    105     -10.1770      1.00000
    106     -10.1675      1.00000
    107     -10.1510      1.00000
    108     -10.1376      1.00000
    109     -10.1246      1.00000
    110     -10.1156      1.00000
    111     -10.1043      1.00000
    112     -10.0734      1.00000
    113     -10.0472      1.00000
    114     -10.0444      1.00000
    115     -10.0104      1.00000
    116     -10.0043      1.00000
    117      -9.9835      1.00000
    118      -9.7678      1.00000
    119      -9.6999      1.00000
    120      -9.6731      1.00000
    121      -9.6550      1.00000
    122      -9.4150      1.00000
    123      -9.4042      1.00000
    124      -9.3971      1.00000
    125      -9.3078      1.00000
    126      -9.2086      1.00000
    127      -9.1573      1.00000
    128      -9.0433      1.00000
    129      -9.0016      1.00000
    130      -8.9301      1.00000
    131      -8.9083      1.00000
    132      -8.8709      1.00000
    133      -8.8087      1.00000
    134      -8.7623      1.00000
    135      -8.7277      1.00000
    136      -8.6772      1.00000
    137      -8.6336      1.00000
    138      -8.6136      1.00000
    139      -8.5915      1.00000
    140      -8.5650      1.00000
    141      -8.5527      1.00000
    142      -8.5373      1.00000
    143      -8.5113      1.00000
    144      -8.4606      1.00000
    145      -8.4320      1.00000
    146      -8.4056      1.00000
    147      -8.3688      1.00000
    148      -8.3432      1.00000
    149      -8.2842      1.00000
    150      -8.2553      1.00000
    151      -8.1793      1.00000
    152      -8.1200      1.00000
    153      -8.0018      1.00000
    154      -7.9314      1.00000
    155      -7.8113      1.00000
    156      -7.7128      1.00000
    157      -7.5150      1.00000
    158      -7.4261      1.00000
    159      -7.3446      1.00000
    160      -7.2788      1.00000
    161      -7.2450      1.00000
    162      -7.1882      1.00000
    163      -7.0976      1.00000
    164      -7.0267      1.00000
    165      -7.0060      1.00000
    166      -6.9730      1.00000
