
 Fermi energy:        -3.9084262359

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2911      1.00000
      2     -23.9772      1.00000
      3     -23.9083      1.00000
      4     -23.8716      1.00000
      5     -23.8258      1.00000
      6     -23.8181      1.00000
      7     -23.6541      1.00000
      8     -23.1429      1.00000
      9     -23.0775      1.00000
     10     -23.0773      1.00000
     11     -23.0283      1.00000
     12     -22.9896      1.00000
     13     -22.9292      1.00000
     14     -22.7108      1.00000
     15     -22.7000      1.00000
     16     -22.6770      1.00000
     17     -22.6236      1.00000
     18     -22.5576      1.00000
     19     -22.4585      1.00000
     20     -21.7686      1.00000
     21     -21.7572      1.00000
     22     -21.7478      1.00000
     23     -21.7092      1.00000
     24     -21.7058      1.00000
     25     -21.6711      1.00000
     26     -21.6653      1.00000
     27     -21.6278      1.00000
     28     -21.6174      1.00000
     29     -21.5305      1.00000
     30     -21.5247      1.00000
     31     -21.4096      1.00000
     32     -21.2886      1.00000
     33     -21.2397      1.00000
     34     -21.2044      1.00000
     35     -21.1762      1.00000
     36     -21.1584      1.00000
     37     -21.0230      1.00000
     38     -20.8124      1.00000
     39     -20.7668      1.00000
     40     -20.7407      1.00000
     41     -20.7362      1.00000
     42     -20.6709      1.00000
     43     -20.6348      1.00000
     44     -20.5794      1.00000
     45     -20.5438      1.00000
     46     -20.5309      1.00000
     47     -20.4908      1.00000
     48     -20.1683      1.00000
     49     -17.9652      1.00000
     50     -14.4470      1.00000
     51     -14.3920      1.00000
     52     -14.3666      1.00000
     53     -14.3332      1.00000
     54     -14.3184      1.00000
     55     -14.3059      1.00000
     56     -14.1873      1.00000
     57     -14.1635      1.00000
     58     -14.1358      1.00000
     59     -14.0663      1.00000
     60     -14.0497      1.00000
     61     -13.9041      1.00000
     62     -13.6450      1.00000
     63     -13.5791      1.00000
     64     -13.5754      1.00000
     65     -13.4816      1.00000
     66     -13.4747      1.00000
     67     -13.4187      1.00000
     68     -12.9217      1.00000
     69     -12.9128      1.00000
     70     -12.8845      1.00000
     71     -12.8713      1.00000
     72     -12.8513      1.00000
     73     -12.8296      1.00000
     74     -12.7807      1.00000
     75     -12.7656      1.00000
     76     -12.7067      1.00000
     77     -12.6776      1.00000
     78     -12.6568      1.00000
     79     -12.4300      1.00000
     80     -12.1429      1.00000
     81     -12.1206      1.00000
     82     -12.0983      1.00000
     83     -11.9749      1.00000
     84     -11.9429      1.00000
     85     -11.9064      1.00000
     86     -11.3963      1.00000
     87     -11.3237      1.00000
     88     -11.2803      1.00000
