
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.0774      1.00000
      2     -24.7103      1.00000
      3     -24.6826      1.00000
      4     -24.5225      1.00000
      5     -24.4294      1.00000
      6     -24.4259      1.00000
      7     -24.2951      1.00000
      8     -23.7873      1.00000
      9     -23.7710      1.00000
     10     -23.7465      1.00000
     11     -23.7366      1.00000
     12     -23.7251      1.00000
     13     -23.5621      1.00000
     14     -23.3442      1.00000
     15     -23.3371      1.00000
     16     -23.3172      1.00000
     17     -23.2476      1.00000
     18     -23.2452      1.00000
     19     -23.1621      1.00000
     20     -22.7005      1.00000
     21     -22.5142      1.00000
     22     -22.4973      1.00000
     23     -22.3698      1.00000
     24     -22.3593      1.00000
     25     -22.2911      1.00000
     26     -22.2681      1.00000
     27     -22.2075      1.00000
     28     -22.2037      1.00000
     29     -22.2015      1.00000
     30     -22.1621      1.00000
     31     -22.0481      1.00000
     32     -21.9368      1.00000
     33     -21.9346      1.00000
     34     -21.8289      1.00000
     35     -21.6925      1.00000
     36     -21.6913      1.00000
     37     -21.6874      1.00000
     38     -21.6245      1.00000
     39     -21.3623      1.00000
     40     -21.3522      1.00000
     41     -21.2861      1.00000
     42     -21.2818      1.00000
     43     -21.1653      1.00000
     44     -21.1491      1.00000
     45     -21.0469      1.00000
     46     -21.0455      1.00000
     47     -20.9870      1.00000
     48     -20.9849      1.00000
     49     -20.7852      1.00000
     50     -15.2969      1.00000
     51     -15.2257      1.00000
     52     -15.2138      1.00000
     53     -15.0988      1.00000
     54     -15.0906      1.00000
     55     -14.9960      1.00000
     56     -14.7825      1.00000
     57     -14.7769      1.00000
     58     -14.7422      1.00000
     59     -14.6708      1.00000
     60     -14.6651      1.00000
     61     -14.5908      1.00000
     62     -14.3027      1.00000
     63     -14.2955      1.00000
     64     -14.2276      1.00000
     65     -14.2147      1.00000
     66     -14.1522      1.00000
     67     -14.0420      1.00000
     68     -13.6751      1.00000
     69     -13.6654      1.00000
     70     -13.5447      1.00000
     71     -13.5250      1.00000
     72     -13.5201      1.00000
     73     -13.3771      1.00000
     74     -13.3688      1.00000
     75     -13.3645      1.00000
     76     -13.3592      1.00000
     77     -13.3205      1.00000
     78     -13.3145      1.00000
     79     -13.2463      1.00000
     80     -12.9490      1.00000
     81     -12.9352      1.00000
     82     -12.6847      1.00000
     83     -12.6794      1.00000
     84     -12.6535      1.00000
     85     -12.6163      1.00000
     86     -12.0688      1.00000
     87     -12.0538      1.00000
     88     -11.9331      1.00000
     89     -11.9273      1.00000
     90     -11.9170      1.00000
     91     -11.8067      1.00000
     92     -11.4003      1.00000
     93     -11.3769      1.00000
     94     -11.2701      1.00000
     95     -11.2610      1.00000
     96     -11.1815      1.00000
     97     -11.0938      1.00000
     98     -11.0504      1.00000
     99     -11.0429      1.00000
    100     -10.8803      1.00000
    101     -10.8644      1.00000
    102     -10.7832      1.00000
    103     -10.7792      1.00000
    104     -10.7769      1.00000
    105     -10.7591      1.00000
    106     -10.7439      1.00000
    107     -10.7258      1.00000
    108     -10.6946      1.00000
    109     -10.6936      1.00000
    110     -10.5977      1.00000
    111     -10.5766      1.00000
    112     -10.5740      1.00000
    113     -10.5725      1.00000
    114     -10.5676      1.00000
    115     -10.5473      1.00000
    116     -10.5424      1.00000
    117     -10.4878      1.00000
    118     -10.4864      1.00000
    119     -10.3732      1.00000
    120     -10.3725      1.00000
    121     -10.3118      1.00000
    122     -10.3096      1.00000
    123      -9.8703      1.00000
    124      -9.8671      1.00000
    125      -9.8640      1.00000
    126      -9.8008      1.00000
    127      -9.7958      1.00000
    128      -9.7907      1.00000
    129      -9.5934      1.00000
    130      -9.5821      1.00000
    131      -9.5717      1.00000
    132      -9.5046      1.00000
    133      -9.4978      1.00000
    134      -9.4911      1.00000
    135      -9.4596      1.00000
    136      -9.2067      1.00000
    137      -9.1949      1.00000
    138      -9.0618      1.00000
    139      -9.0438      1.00000
    140      -9.0352      1.00000
    141      -8.9680      1.00000
    142      -8.9655      1.00000
    143      -8.9618      1.00000
    144      -8.9592      1.00000
    145      -8.9591      1.00000
    146      -8.9522      1.00000
    147      -8.9220      1.00000
    148      -8.9164      1.00000
    149      -8.8883      1.00000
    150      -8.8882      1.00000
    151      -8.8823      1.00000
    152      -8.8744      1.00000
    153      -8.6150      1.00000
    154      -8.6106      1.00000
    155      -8.5226      1.00000
    156      -8.4481      1.00000
    157      -8.3129      1.00000
    158      -8.2971      1.00000
    159      -7.8890      1.00000
