# freq/cm-1  Intensity 
-1.99889e+02   2.24465e-05
-1.99389e+02   2.24617e-05
-1.98889e+02   2.24769e-05
-1.98389e+02   2.24922e-05
-1.97889e+02   2.25075e-05
-1.97389e+02   2.25228e-05
-1.96889e+02   2.25381e-05
-1.96389e+02   2.25534e-05
-1.95889e+02   2.25687e-05
-1.95389e+02   2.25841e-05
-1.94889e+02   2.25995e-05
-1.94389e+02   2.26148e-05
-1.93889e+02   2.26303e-05
-1.93389e+02   2.26457e-05
-1.92889e+02   2.26611e-05
-1.92389e+02   2.26766e-05
-1.91889e+02   2.26921e-05
-1.91389e+02   2.27076e-05
-1.90889e+02   2.27231e-05
-1.90389e+02   2.27386e-05
-1.89889e+02   2.27542e-05
-1.89389e+02   2.27697e-05
-1.88889e+02   2.27853e-05
-1.88389e+02   2.28009e-05
-1.87889e+02   2.28165e-05
-1.87389e+02   2.28322e-05
-1.86889e+02   2.28478e-05
-1.86389e+02   2.28635e-05
-1.85889e+02   2.28792e-05
-1.85389e+02   2.28949e-05
-1.84889e+02   2.29106e-05
-1.84389e+02   2.29264e-05
-1.83889e+02   2.29421e-05
-1.83389e+02   2.29579e-05
-1.82889e+02   2.29737e-05
-1.82389e+02   2.29895e-05
-1.81889e+02   2.30053e-05
-1.81389e+02   2.30212e-05
-1.80889e+02   2.30371e-05
-1.80389e+02   2.30530e-05
-1.79889e+02   2.30689e-05
-1.79389e+02   2.30848e-05
-1.78889e+02   2.31007e-05
-1.78389e+02   2.31167e-05
-1.77889e+02   2.31327e-05
-1.77389e+02   2.31487e-05
-1.76889e+02   2.31647e-05
-1.76389e+02   2.31807e-05
-1.75889e+02   2.31968e-05
-1.75389e+02   2.32129e-05
-1.74889e+02   2.32290e-05
-1.74389e+02   2.32451e-05
-1.73889e+02   2.32612e-05
-1.73389e+02   2.32773e-05
-1.72889e+02   2.32935e-05
-1.72389e+02   2.33097e-05
-1.71889e+02   2.33259e-05
-1.71389e+02   2.33421e-05
-1.70889e+02   2.33584e-05
-1.70389e+02   2.33746e-05
-1.69889e+02   2.33909e-05
-1.69389e+02   2.34072e-05
-1.68889e+02   2.34235e-05
-1.68389e+02   2.34399e-05
-1.67889e+02   2.34562e-05
-1.67389e+02   2.34726e-05
-1.66889e+02   2.34890e-05
-1.66389e+02   2.35054e-05
-1.65889e+02   2.35219e-05
-1.65389e+02   2.35383e-05
-1.64889e+02   2.35548e-05
-1.64389e+02   2.35713e-05
-1.63889e+02   2.35878e-05
-1.63389e+02   2.36043e-05
-1.62889e+02   2.36209e-05
-1.62389e+02   2.36375e-05
-1.61889e+02   2.36540e-05
-1.61389e+02   2.36707e-05
-1.60889e+02   2.36873e-05
-1.60389e+02   2.37039e-05
-1.59889e+02   2.37206e-05
-1.59389e+02   2.37373e-05
-1.58889e+02   2.37540e-05
-1.58389e+02   2.37708e-05
-1.57889e+02   2.37875e-05
-1.57389e+02   2.38043e-05
-1.56889e+02   2.38211e-05
-1.56389e+02   2.38379e-05
-1.55889e+02   2.38547e-05
-1.55389e+02   2.38716e-05
-1.54889e+02   2.38884e-05
-1.54389e+02   2.39053e-05
-1.53889e+02   2.39222e-05
-1.53389e+02   2.39392e-05
-1.52889e+02   2.39561e-05
-1.52389e+02   2.39731e-05
-1.51889e+02   2.39901e-05
-1.51389e+02   2.40071e-05
-1.50889e+02   2.40242e-05
-1.50389e+02   2.40412e-05
-1.49889e+02   2.40583e-05
-1.49389e+02   2.40754e-05
-1.48889e+02   2.40925e-05
-1.48389e+02   2.41097e-05
-1.47889e+02   2.41268e-05
-1.47389e+02   2.41440e-05
-1.46889e+02   2.41612e-05
-1.46389e+02   2.41785e-05
-1.45889e+02   2.41957e-05
-1.45389e+02   2.42130e-05
-1.44889e+02   2.42303e-05
-1.44389e+02   2.42476e-05
-1.43889e+02   2.42649e-05
-1.43389e+02   2.42823e-05
-1.42889e+02   2.42996e-05
-1.42389e+02   2.43170e-05
-1.41889e+02   2.43345e-05
-1.41389e+02   2.43519e-05
-1.40889e+02   2.43694e-05
-1.40389e+02   2.43868e-05
-1.39889e+02   2.44044e-05
-1.39389e+02   2.44219e-05
-1.38889e+02   2.44394e-05
-1.38389e+02   2.44570e-05
-1.37889e+02   2.44746e-05
-1.37389e+02   2.44922e-05
-1.36889e+02   2.45099e-05
-1.36389e+02   2.45275e-05
-1.35889e+02   2.45452e-05
-1.35389e+02   2.45629e-05
-1.34889e+02   2.45806e-05
-1.34389e+02   2.45984e-05
-1.33889e+02   2.46162e-05
-1.33389e+02   2.46340e-05
-1.32889e+02   2.46518e-05
-1.32389e+02   2.46696e-05
-1.31889e+02   2.46875e-05
-1.31389e+02   2.47054e-05
-1.30889e+02   2.47233e-05
-1.30389e+02   2.47412e-05
-1.29889e+02   2.47592e-05
-1.29389e+02   2.47772e-05
-1.28889e+02   2.47952e-05
-1.28389e+02   2.48132e-05
-1.27889e+02   2.48312e-05
-1.27389e+02   2.48493e-05
-1.26889e+02   2.48674e-05
-1.26389e+02   2.48855e-05
-1.25889e+02   2.49037e-05
-1.25389e+02   2.49218e-05
-1.24889e+02   2.49400e-05
-1.24389e+02   2.49582e-05
-1.23889e+02   2.49765e-05
-1.23389e+02   2.49947e-05
-1.22889e+02   2.50130e-05
-1.22389e+02   2.50313e-05
-1.21889e+02   2.50497e-05
-1.21389e+02   2.50680e-05
-1.20889e+02   2.50864e-05
-1.20389e+02   2.51048e-05
-1.19889e+02   2.51233e-05
-1.19389e+02   2.51417e-05
-1.18889e+02   2.51602e-05
-1.18389e+02   2.51787e-05
-1.17889e+02   2.51972e-05
-1.17389e+02   2.52158e-05
-1.16889e+02   2.52344e-05
-1.16389e+02   2.52530e-05
-1.15889e+02   2.52716e-05
-1.15389e+02   2.52902e-05
-1.14889e+02   2.53089e-05
-1.14389e+02   2.53276e-05
-1.13889e+02   2.53464e-05
-1.13389e+02   2.53651e-05
-1.12889e+02   2.53839e-05
-1.12389e+02   2.54027e-05
-1.11889e+02   2.54215e-05
-1.11389e+02   2.54404e-05
-1.10889e+02   2.54593e-05
-1.10389e+02   2.54782e-05
-1.09889e+02   2.54971e-05
-1.09389e+02   2.55161e-05
-1.08889e+02   2.55351e-05
-1.08389e+02   2.55541e-05
-1.07889e+02   2.55731e-05
-1.07389e+02   2.55922e-05
-1.06889e+02   2.56113e-05
-1.06389e+02   2.56304e-05
-1.05889e+02   2.56495e-05
-1.05389e+02   2.56687e-05
-1.04889e+02   2.56879e-05
-1.04389e+02   2.57071e-05
-1.03889e+02   2.57264e-05
-1.03389e+02   2.57457e-05
