
 Fermi energy:        -5.3943030525

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3548      1.00000
      2     -24.6208      1.00000
      3     -24.6204      1.00000
      4     -24.5002      1.00000
      5     -24.2431      1.00000
      6     -24.2431      1.00000
      7     -24.1344      1.00000
      8     -23.7839      1.00000
      9     -23.7838      1.00000
     10     -23.7025      1.00000
     11     -23.5543      1.00000
     12     -23.5541      1.00000
     13     -23.5289      1.00000
     14     -23.1730      1.00000
     15     -23.1728      1.00000
     16     -23.1640      1.00000
     17     -23.1152      1.00000
     18     -23.1148      1.00000
     19     -23.0936      1.00000
     20     -22.5927      1.00000
     21     -22.5923      1.00000
     22     -22.2944      1.00000
     23     -22.2896      1.00000
     24     -22.2675      1.00000
     25     -22.2673      1.00000
     26     -22.1502      1.00000
     27     -22.0816      1.00000
     28     -22.0812      1.00000
     29     -22.0191      1.00000
     30     -22.0190      1.00000
     31     -22.0189      1.00000
     32     -21.7822      1.00000
     33     -21.7820      1.00000
     34     -21.7640      1.00000
     35     -21.5597      1.00000
     36     -21.5575      1.00000
     37     -21.5572      1.00000
     38     -21.4344      1.00000
     39     -21.4343      1.00000
     40     -21.1876      1.00000
     41     -21.1870      1.00000
     42     -21.1624      1.00000
     43     -21.1457      1.00000
     44     -20.9941      1.00000
     45     -20.9935      1.00000
     46     -20.9022      1.00000
     47     -20.9014      1.00000
     48     -20.8554      1.00000
     49     -20.8554      1.00000
     50     -15.3136      1.00000
     51     -15.2734      1.00000
     52     -15.2730      1.00000
     53     -15.0110      1.00000
     54     -14.8718      1.00000
     55     -14.8715      1.00000
     56     -14.6021      1.00000
     57     -14.6020      1.00000
     58     -14.5955      1.00000
     59     -14.5257      1.00000
     60     -14.5255      1.00000
     61     -14.5149      1.00000
     62     -14.1923      1.00000
     63     -14.1923      1.00000
     64     -14.1395      1.00000
     65     -14.0568      1.00000
     66     -14.0002      1.00000
     67     -14.0000      1.00000
     68     -13.5326      1.00000
     69     -13.5325      1.00000
     70     -13.4195      1.00000
     71     -13.3888      1.00000
     72     -13.3888      1.00000
     73     -13.3883      1.00000
     74     -13.2622      1.00000
     75     -13.2420      1.00000
     76     -13.2409      1.00000
     77     -13.2402      1.00000
     78     -13.2108      1.00000
     79     -13.2103      1.00000
     80     -12.9822      1.00000
     81     -12.6292      1.00000
     82     -12.6015      1.00000
     83     -12.6014      1.00000
     84     -12.4754      1.00000
     85     -12.4753      1.00000
     86     -11.9612      1.00000
     87     -11.9610      1.00000
     88     -11.8298      1.00000
     89     -11.8124      1.00000
     90     -11.8119      1.00000
     91     -11.7979      1.00000
     92     -11.4065      1.00000
     93     -11.3755      1.00000
     94     -11.1626      1.00000
     95     -11.1623      1.00000
     96     -10.9813      1.00000
     97     -10.9812      1.00000
     98     -10.9421      1.00000
     99     -10.8171      1.00000
    100     -10.8170      1.00000
    101     -10.8003      1.00000
    102     -10.6721      1.00000
    103     -10.6585      1.00000
    104     -10.6580      1.00000
    105     -10.6316      1.00000
    106     -10.6255      1.00000
    107     -10.6251      1.00000
    108     -10.5709      1.00000
