
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.5581      1.00000
      2     -24.2269      1.00000
      3     -24.2112      1.00000
      4     -24.1075      1.00000
      5     -24.0879      1.00000
      6     -24.0664      1.00000
      7     -24.0337      1.00000
      8     -23.4111      1.00000
      9     -23.3659      1.00000
     10     -23.3417      1.00000
     11     -23.3184      1.00000
     12     -23.3000      1.00000
     13     -23.1746      1.00000
     14     -22.9825      1.00000
     15     -22.9669      1.00000
     16     -22.9458      1.00000
     17     -22.9195      1.00000
     18     -22.9103      1.00000
     19     -22.7725      1.00000
     20     -22.1377      1.00000
     21     -22.0694      1.00000
     22     -22.0056      1.00000
     23     -21.9551      1.00000
     24     -21.9476      1.00000
     25     -21.9092      1.00000
     26     -21.8986      1.00000
     27     -21.8860      1.00000
     28     -21.8744      1.00000
     29     -21.8513      1.00000
     30     -21.8124      1.00000
     31     -21.7038      1.00000
     32     -21.5688      1.00000
     33     -21.5295      1.00000
     34     -21.4815      1.00000
     35     -21.4163      1.00000
     36     -21.3867      1.00000
     37     -21.3251      1.00000
     38     -21.0845      1.00000
     39     -21.0118      1.00000
     40     -20.9814      1.00000
     41     -20.9677      1.00000
     42     -20.9480      1.00000
     43     -20.8743      1.00000
     44     -20.8596      1.00000
     45     -20.7892      1.00000
     46     -20.7642      1.00000
     47     -20.7301      1.00000
     48     -20.7008      1.00000
     49     -20.6617      1.00000
     50     -14.7165      1.00000
     51     -14.6751      1.00000
     52     -14.6206      1.00000
     53     -14.5969      1.00000
     54     -14.5853      1.00000
     55     -14.4794      1.00000
     56     -14.4468      1.00000
     57     -14.4278      1.00000
     58     -14.3553      1.00000
     59     -14.3239      1.00000
     60     -14.3056      1.00000
     61     -14.1670      1.00000
     62     -13.8675      1.00000
     63     -13.8470      1.00000
     64     -13.8058      1.00000
     65     -13.7673      1.00000
     66     -13.7354      1.00000
     67     -13.6339      1.00000
     68     -13.2359      1.00000
     69     -13.1913      1.00000
     70     -13.1733      1.00000
     71     -13.1103      1.00000
     72     -13.0900      1.00000
     73     -13.0646      1.00000
     74     -13.0513      1.00000
     75     -13.0325      1.00000
     76     -13.0175      1.00000
     77     -12.9667      1.00000
     78     -12.9188      1.00000
     79     -12.8170      1.00000
     80     -12.5685      1.00000
     81     -12.3444      1.00000
     82     -12.3011      1.00000
     83     -12.2658      1.00000
     84     -12.2180      1.00000
     85     -11.9637      1.00000
     86     -11.7038      1.00000
     87     -11.6334      1.00000
     88     -11.5818      1.00000
     89     -11.5148      1.00000
     90     -11.4796      1.00000
     91     -11.2100      1.00000
     92     -11.0159      1.00000
     93     -10.8415      1.00000
     94     -10.7751      1.00000
     95     -10.7701      1.00000
     96     -10.7362      1.00000
     97     -10.7139      1.00000
     98     -10.6324      1.00000
     99     -10.5533      1.00000
    100     -10.5163      1.00000
    101     -10.4523      1.00000
    102     -10.4361      1.00000
    103     -10.3654      1.00000
    104     -10.3507      1.00000
    105     -10.3425      1.00000
    106     -10.3228      1.00000
    107     -10.3182      1.00000
    108     -10.2951      1.00000
    109     -10.2611      1.00000
    110     -10.2417      1.00000
    111     -10.2278      1.00000
    112     -10.2115      1.00000
    113     -10.2068      1.00000
    114     -10.1865      1.00000
    115     -10.1750      1.00000
    116     -10.1630      1.00000
    117     -10.1529      1.00000
    118     -10.1379      1.00000
    119     -10.1081      1.00000
    120      -9.8960      1.00000
    121      -9.8224      1.00000
    122      -9.5821      1.00000
    123      -9.5676      1.00000
    124      -9.5415      1.00000
    125      -9.5186      1.00000
    126      -9.4982      1.00000
    127      -9.3915      1.00000
    128      -9.2875      1.00000
    129      -9.1651      1.00000
    130      -9.1410      1.00000
    131      -9.1170      1.00000
    132      -9.0910      1.00000
    133      -9.0706      1.00000
    134      -9.0169      1.00000
    135      -8.9330      1.00000
    136      -8.9215      1.00000
    137      -8.8312      1.00000
    138      -8.6882      1.00000
    139      -8.6791      1.00000
    140      -8.6662      1.00000
    141      -8.6559      1.00000
    142      -8.6251      1.00000
    143      -8.6168      1.00000
    144      -8.6138      1.00000
    145      -8.6085      1.00000
    146      -8.5740      1.00000
    147      -8.5718      1.00000
    148      -8.5517      1.00000
    149      -8.5388      1.00000
    150      -8.5021      1.00000
    151      -8.4851      1.00000
    152      -8.3534      1.00000
    153      -8.2981      1.00000
    154      -8.2628      1.00000
    155      -8.2181      1.00000
    156      -8.1010      1.00000
    157      -7.7713      1.00000
    158      -7.6035      1.00000
    159      -7.4725      1.00000
    160      -7.3992      1.00000
    161      -7.3552      1.00000
    162      -7.3217      1.00000
    163      -7.2702      1.00000
    164      -7.2607      1.00000
    165      -7.2173      1.00000
    166      -7.1521      1.00000
    167      -7.1438      1.00000
    168      -7.1175      1.00000
    169      -7.0900      1.00000
    170      -7.0799      1.00000
    171      -7.0756      1.00000
    172      -7.0568      1.00000
    173      -7.0443      1.00000
    174      -6.9371      1.00000
    175      -6.8351      1.00000
    176      -6.6851      1.00000
    177      -6.5792      1.00000
    178      -6.5313      1.00000
    179      -6.4854      1.00000
    180      -6.4321      1.00000
    181      -6.4152      1.00000
    182      -6.3932      1.00000
    183      -6.2875      1.00000
    184      -5.8309      1.00000
    185      -5.7936      1.00000
    186      -5.7318      1.00000
    187      -5.6935      1.00000
    188      -5.6802      1.00000
    189      -5.6340      1.00000
    190      -5.5159      1.00000
    191      -5.5145      1.00000
    192      -5.3982      1.00000
    193      -5.3604      1.00000
    194      -5.3537      1.00000
    195      -5.2959      1.00000
    196      -3.1269      0.00000
    197       0.1453      1.00000
    198       0.6527      0.00000
    199       0.8634      0.00000
    200       1.1080      0.00000
    201       1.1679      0.00000
    202       1.2186      0.00000
    203       1.2494      0.00000
    204       1.3148      0.00000
    205       1.3244      0.00000
    206       1.3378      0.00000
    207       1.3391      0.00000
    208       1.3459      0.00000
    209       1.3589      0.00000
    210       1.3680      0.00000
    211       1.4443      0.00000
    212       1.4623      0.00000
    213       1.4910      0.00000
    214       1.5167      0.00000
    215       1.5288      0.00000
    216       1.5625      0.00000
    217       1.6147      0.00000
    218       1.7287      0.00000
    219       1.7328      0.00000
    220       1.7702      0.00000
    221       1.8204      0.00000
    222       1.8561      0.00000
    223       1.9505      0.00000
    224       2.1154      0.00000
    225       2.1516      0.00000
    226       2.1599      0.00000
    227       2.1685      0.00000
    228       2.1858      0.00000
    229       2.2023      0.00000
    230       2.3316      0.00000
    231       2.3477      0.00000
    232       2.3533      0.00000
    233       2.3611      0.00000
    234       2.4218      0.00000
    235       2.4376      0.00000
    236       2.5668      0.00000
    237       2.6140      0.00000
    238       2.6324      0.00000
    239       2.6391      0.00000
    240       2.6516      0.00000
    241       2.6750      0.00000
    242       2.6870      0.00000
    243       2.8919      0.00000
    244       2.9337      0.00000
    245       2.9645      0.00000
    246       2.9676      0.00000
    247       2.9996      0.00000
    248       3.0119      0.00000
    249       3.0180      0.00000
    250       3.0336      0.00000
    251       3.0574      0.00000
    252       3.0652      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.5542      1.00000
      2     -24.2641      1.00000
      3     -24.1360      1.00000
      4     -24.0913      1.00000
      5     -24.0597      1.00000
      6     -24.0348      1.00000
      7     -24.0024      1.00000
      8     -23.4138      1.00000
      9     -23.3355      1.00000
     10     -23.3174      1.00000
     11     -23.2965      1.00000
     12     -23.2507      1.00000
     13     -23.1276      1.00000
     14     -22.9796      1.00000
     15     -22.9356      1.00000
     16     -22.9207      1.00000
     17     -22.9073      1.00000
     18     -22.8661      1.00000
     19     -22.6682      1.00000
     20     -22.1105      1.00000
     21     -22.0018      1.00000
     22     -21.9623      1.00000
     23     -21.9388      1.00000
     24     -21.9042      1.00000
     25     -21.8889      1.00000
     26     -21.8790      1.00000
     27     -21.8690      1.00000
     28     -21.8612      1.00000
     29     -21.8414      1.00000
     30     -21.7621      1.00000
     31     -21.6252      1.00000
     32     -21.5663      1.00000
     33     -21.4520      1.00000
     34     -21.4340      1.00000
     35     -21.4072      1.00000
     36     -21.3891      1.00000
     37     -21.2581      1.00000
     38     -21.0298      1.00000
