# freq/cm-1  Intensity 
-1.98439e+02   2.12837e-05
-1.97939e+02   2.12990e-05
-1.97439e+02   2.13143e-05
-1.96939e+02   2.13296e-05
-1.96439e+02   2.13450e-05
-1.95939e+02   2.13604e-05
-1.95439e+02   2.13758e-05
-1.94939e+02   2.13912e-05
-1.94439e+02   2.14067e-05
-1.93939e+02   2.14222e-05
-1.93439e+02   2.14377e-05
-1.92939e+02   2.14532e-05
-1.92439e+02   2.14687e-05
-1.91939e+02   2.14843e-05
-1.91439e+02   2.14999e-05
-1.90939e+02   2.15155e-05
-1.90439e+02   2.15312e-05
-1.89939e+02   2.15468e-05
-1.89439e+02   2.15625e-05
-1.88939e+02   2.15782e-05
-1.88439e+02   2.15940e-05
-1.87939e+02   2.16097e-05
-1.87439e+02   2.16255e-05
-1.86939e+02   2.16413e-05
-1.86439e+02   2.16572e-05
-1.85939e+02   2.16730e-05
-1.85439e+02   2.16889e-05
-1.84939e+02   2.17048e-05
-1.84439e+02   2.17208e-05
-1.83939e+02   2.17367e-05
-1.83439e+02   2.17527e-05
-1.82939e+02   2.17687e-05
-1.82439e+02   2.17848e-05
-1.81939e+02   2.18008e-05
-1.81439e+02   2.18169e-05
-1.80939e+02   2.18330e-05
-1.80439e+02   2.18492e-05
-1.79939e+02   2.18653e-05
-1.79439e+02   2.18815e-05
-1.78939e+02   2.18978e-05
-1.78439e+02   2.19140e-05
-1.77939e+02   2.19303e-05
-1.77439e+02   2.19466e-05
-1.76939e+02   2.19629e-05
-1.76439e+02   2.19792e-05
-1.75939e+02   2.19956e-05
-1.75439e+02   2.20120e-05
-1.74939e+02   2.20284e-05
-1.74439e+02   2.20449e-05
-1.73939e+02   2.20614e-05
-1.73439e+02   2.20779e-05
-1.72939e+02   2.20944e-05
-1.72439e+02   2.21110e-05
-1.71939e+02   2.21276e-05
-1.71439e+02   2.21442e-05
-1.70939e+02   2.21609e-05
-1.70439e+02   2.21776e-05
-1.69939e+02   2.21943e-05
-1.69439e+02   2.22110e-05
-1.68939e+02   2.22278e-05
-1.68439e+02   2.22446e-05
-1.67939e+02   2.22614e-05
-1.67439e+02   2.22782e-05
-1.66939e+02   2.22951e-05
-1.66439e+02   2.23120e-05
-1.65939e+02   2.23290e-05
-1.65439e+02   2.23460e-05
-1.64939e+02   2.23630e-05
-1.64439e+02   2.23800e-05
-1.63939e+02   2.23970e-05
-1.63439e+02   2.24141e-05
-1.62939e+02   2.24313e-05
-1.62439e+02   2.24484e-05
-1.61939e+02   2.24656e-05
-1.61439e+02   2.24828e-05
-1.60939e+02   2.25000e-05
-1.60439e+02   2.25173e-05
-1.59939e+02   2.25346e-05
-1.59439e+02   2.25520e-05
-1.58939e+02   2.25693e-05
-1.58439e+02   2.25867e-05
-1.57939e+02   2.26042e-05
-1.57439e+02   2.26216e-05
-1.56939e+02   2.26391e-05
-1.56439e+02   2.26567e-05
-1.55939e+02   2.26742e-05
-1.55439e+02   2.26918e-05
-1.54939e+02   2.27095e-05
-1.54439e+02   2.27271e-05
-1.53939e+02   2.27448e-05
-1.53439e+02   2.27625e-05
-1.52939e+02   2.27803e-05
-1.52439e+02   2.27981e-05
-1.51939e+02   2.28159e-05
-1.51439e+02   2.28338e-05
-1.50939e+02   2.28517e-05
-1.50439e+02   2.28696e-05
-1.49939e+02   2.28876e-05
-1.49439e+02   2.29056e-05
-1.48939e+02   2.29237e-05
-1.48439e+02   2.29417e-05
-1.47939e+02   2.29599e-05
-1.47439e+02   2.29780e-05
-1.46939e+02   2.29962e-05
-1.46439e+02   2.30144e-05
-1.45939e+02   2.30327e-05
-1.45439e+02   2.30510e-05
-1.44939e+02   2.30693e-05
-1.44439e+02   2.30877e-05
-1.43939e+02   2.31061e-05
-1.43439e+02   2.31245e-05
-1.42939e+02   2.31430e-05
-1.42439e+02   2.31615e-05
-1.41939e+02   2.31801e-05
-1.41439e+02   2.31987e-05
-1.40939e+02   2.32173e-05
-1.40439e+02   2.32360e-05
-1.39939e+02   2.32547e-05
-1.39439e+02   2.32735e-05
-1.38939e+02   2.32923e-05
-1.38439e+02   2.33111e-05
-1.37939e+02   2.33300e-05
-1.37439e+02   2.33489e-05
-1.36939e+02   2.33679e-05
-1.36439e+02   2.33869e-05
-1.35939e+02   2.34060e-05
-1.35439e+02   2.34250e-05
-1.34939e+02   2.34442e-05
-1.34439e+02   2.34633e-05
-1.33939e+02   2.34826e-05
-1.33439e+02   2.35018e-05
-1.32939e+02   2.35211e-05
-1.32439e+02   2.35405e-05
-1.31939e+02   2.35599e-05
-1.31439e+02   2.35793e-05
-1.30939e+02   2.35988e-05
-1.30439e+02   2.36183e-05
-1.29939e+02   2.36379e-05
-1.29439e+02   2.36575e-05
-1.28939e+02   2.36772e-05
-1.28439e+02   2.36969e-05
-1.27939e+02   2.37166e-05
-1.27439e+02   2.37364e-05
-1.26939e+02   2.37563e-05
-1.26439e+02   2.37762e-05
-1.25939e+02   2.37961e-05
-1.25439e+02   2.38161e-05
-1.24939e+02   2.38362e-05
-1.24439e+02   2.38563e-05
-1.23939e+02   2.38764e-05
-1.23439e+02   2.38966e-05
-1.22939e+02   2.39169e-05
-1.22439e+02   2.39372e-05
-1.21939e+02   2.39575e-05
-1.21439e+02   2.39779e-05
-1.20939e+02   2.39984e-05
-1.20439e+02   2.40189e-05
-1.19939e+02   2.40394e-05
-1.19439e+02   2.40600e-05
-1.18939e+02   2.40807e-05
-1.18439e+02   2.41014e-05
-1.17939e+02   2.41222e-05
-1.17439e+02   2.41430e-05
-1.16939e+02   2.41639e-05
-1.16439e+02   2.41848e-05
-1.15939e+02   2.42058e-05
-1.15439e+02   2.42269e-05
-1.14939e+02   2.42480e-05
-1.14439e+02   2.42692e-05
-1.13939e+02   2.42904e-05
-1.13439e+02   2.43117e-05
-1.12939e+02   2.43331e-05
-1.12439e+02   2.43545e-05
-1.11939e+02   2.43759e-05
-1.11439e+02   2.43975e-05
-1.10939e+02   2.44191e-05
-1.10439e+02   2.44407e-05
-1.09939e+02   2.44624e-05
-1.09439e+02   2.44842e-05
-1.08939e+02   2.45061e-05
-1.08439e+02   2.45280e-05
-1.07939e+02   2.45500e-05
-1.07439e+02   2.45720e-05
-1.06939e+02   2.45941e-05
-1.06439e+02   2.46163e-05
-1.05939e+02   2.46385e-05
-1.05439e+02   2.46609e-05
-1.04939e+02   2.46832e-05
-1.04439e+02   2.47057e-05
-1.03939e+02   2.47282e-05
-1.03439e+02   2.47508e-05
-1.02939e+02   2.47735e-05
-1.02439e+02   2.47962e-05
-1.01939e+02   2.48191e-05
-1.01439e+02   2.48419e-05
-1.00939e+02   2.48649e-05
-1.00439e+02   2.48879e-05
-9.99386e+01   2.49111e-05
-9.94386e+01   2.49343e-05
-9.89386e+01   2.49575e-05
-9.84386e+01   2.49809e-05
-9.79386e+01   2.50043e-05
-9.74386e+01   2.50278e-05
-9.69386e+01   2.50514e-05
-9.64386e+01   2.50751e-05
-9.59386e+01   2.50989e-05
-9.54386e+01   2.51227e-05
-9.49386e+01   2.51467e-05
-9.44386e+01   2.51707e-05
-9.39386e+01   2.51948e-05
-9.34386e+01   2.52190e-05
-9.29386e+01   2.52433e-05
-9.24386e+01   2.52676e-05
-9.19386e+01   2.52921e-05
-9.14386e+01   2.53166e-05
-9.09386e+01   2.53413e-05
-9.04386e+01   2.53660e-05
-8.99386e+01   2.53909e-05
-8.94386e+01   2.54158e-05
-8.89386e+01   2.54409e-05
-8.84386e+01   2.54660e-05
-8.79386e+01   2.54912e-05
-8.74386e+01   2.55166e-05
-8.69386e+01   2.55420e-05
-8.64386e+01   2.55675e-05
-8.59386e+01   2.55932e-05
-8.54386e+01   2.56189e-05
-8.49386e+01   2.56448e-05
-8.44386e+01   2.56708e-05
-8.39386e+01   2.56969e-05
-8.34386e+01   2.57231e-05
-8.29386e+01   2.57494e-05
-8.24386e+01   2.57758e-05
-8.19386e+01   2.58023e-05
-8.14386e+01   2.58290e-05
-8.09386e+01   2.58558e-05
-8.04386e+01   2.58827e-05
-7.99386e+01   2.59097e-05
-7.94386e+01   2.59368e-05
-7.89386e+01   2.59641e-05
-7.84386e+01   2.59915e-05
-7.79386e+01   2.60190e-05
-7.74386e+01   2.60467e-05
-7.69386e+01   2.60745e-05
-7.64386e+01   2.61024e-05
-7.59386e+01   2.61305e-05
-7.54386e+01   2.61587e-05
-7.49386e+01   2.61870e-05
-7.44386e+01   2.62155e-05
-7.39386e+01   2.62442e-05
-7.34386e+01   2.62730e-05
-7.29386e+01   2.63019e-05
-7.24386e+01   2.63310e-05
-7.19386e+01   2.63602e-05
-7.14386e+01   2.63896e-05
-7.09386e+01   2.64192e-05
-7.04386e+01   2.64489e-05
-6.99386e+01   2.64787e-05
-6.94386e+01   2.65088e-05
-6.89386e+01   2.65390e-05
-6.84386e+01   2.65694e-05
-6.79386e+01   2.65999e-05
-6.74386e+01   2.66307e-05
-6.69386e+01   2.66616e-05
-6.64386e+01   2.66927e-05
-6.59386e+01   2.67240e-05
-6.54386e+01   2.67554e-05
-6.49386e+01   2.67871e-05
-6.44386e+01   2.68189e-05
-6.39386e+01   2.68510e-05
-6.34386e+01   2.68832e-05
-6.29386e+01   2.69157e-05
-6.24386e+01   2.69484e-05
-6.19386e+01   2.69812e-05
-6.14386e+01   2.70143e-05
-6.09386e+01   2.70476e-05
-6.04386e+01   2.70812e-05
-5.99386e+01   2.71149e-05
-5.94386e+01   2.71489e-05
-5.89386e+01   2.71832e-05
-5.84386e+01   2.72176e-05
-5.79386e+01   2.72523e-05
-5.74386e+01   2.72873e-05
-5.69386e+01   2.73225e-05
-5.64386e+01   2.73579e-05
-5.59386e+01   2.73937e-05
-5.54386e+01   2.74297e-05
-5.49386e+01   2.74659e-05
-5.44386e+01   2.75025e-05
-5.39386e+01   2.75393e-05
-5.34386e+01   2.75764e-05
-5.29386e+01   2.76138e-05
-5.24386e+01   2.76515e-05
-5.19386e+01   2.76895e-05
-5.14386e+01   2.77278e-05
-5.09386e+01   2.77665e-05
-5.04386e+01   2.78054e-05
-4.99386e+01   2.78447e-05
-4.94386e+01   2.78843e-05
-4.89386e+01   2.79243e-05
-4.84386e+01   2.79646e-05
-4.79386e+01   2.80053e-05
-4.74386e+01   2.80463e-05
-4.69386e+01   2.80878e-05
-4.64386e+01   2.81296e-05
-4.59386e+01   2.81718e-05
-4.54386e+01   2.82143e-05
-4.49386e+01   2.82573e-05
-4.44386e+01   2.83008e-05
-4.39386e+01   2.83446e-05
-4.34386e+01   2.83889e-05
-4.29386e+01   2.84336e-05
-4.24386e+01   2.84788e-05
-4.19386e+01   2.85244e-05
-4.14386e+01   2.85705e-05
-4.09386e+01   2.86172e-05
-4.04386e+01   2.86643e-05
-3.99386e+01   2.87119e-05
-3.94386e+01   2.87600e-05
-3.89386e+01   2.88087e-05
-3.84386e+01   2.88579e-05
-3.79386e+01   2.89077e-05
-3.74386e+01   2.89581e-05
-3.69386e+01   2.90091e-05
-3.64386e+01   2.90607e-05
-3.59386e+01   2.91129e-05
-3.54386e+01   2.91657e-05
-3.49386e+01   2.92192e-05
-3.44386e+01   2.92734e-05
-3.39386e+01   2.93283e-05
-3.34386e+01   2.93838e-05
-3.29386e+01   2.94402e-05
-3.24386e+01   2.94972e-05
-3.19386e+01   2.95550e-05
-3.14386e+01   2.96137e-05
-3.09386e+01   2.96731e-05
-3.04386e+01   2.97334e-05
-2.99386e+01   2.97945e-05
-2.94386e+01   2.98566e-05
-2.89386e+01   2.99195e-05
-2.84386e+01   2.99834e-05
-2.79386e+01   3.00483e-05
-2.74386e+01   3.01141e-05
-2.69386e+01   3.01810e-05
-2.64386e+01   3.02490e-05
-2.59386e+01   3.03181e-05
-2.54386e+01   3.03883e-05
-2.49386e+01   3.04596e-05
-2.44386e+01   3.05322e-05
-2.39386e+01   3.06060e-05
-2.34386e+01   3.06811e-05
-2.29386e+01   3.07576e-05
-2.24386e+01   3.08354e-05
-2.19386e+01   3.09147e-05
-2.14386e+01   3.09954e-05
-2.09386e+01   3.10777e-05
-2.04386e+01   3.11616e-05
-1.99386e+01   3.12472e-05
-1.94386e+01   3.13344e-05
-1.89386e+01   3.14235e-05
-1.84386e+01   3.15143e-05
-1.79386e+01   3.16072e-05
-1.74386e+01   3.17020e-05
-1.69386e+01   3.17989e-05
-1.64386e+01   3.18981e-05
-1.59386e+01   3.19994e-05
-1.54386e+01   3.21032e-05
-1.49386e+01   3.22095e-05
-1.44386e+01   3.23184e-05
-1.39386e+01   3.24300e-05
-1.34386e+01   3.25445e-05
-1.29386e+01   3.26620e-05
-1.24386e+01   3.27826e-05
-1.19386e+01   3.29067e-05
-1.14386e+01   3.30342e-05
-1.09386e+01   3.31656e-05
-1.04386e+01   3.33008e-05
-9.93862e+00   3.34403e-05
-9.43862e+00   3.35843e-05
-8.93862e+00   3.37331e-05
-8.43862e+00   3.38869e-05
-7.93862e+00   3.40463e-05
-7.43862e+00   3.42116e-05
-6.93862e+00   3.43832e-05
-6.43862e+00   3.45616e-05
-5.93862e+00   3.47474e-05
-5.43862e+00   3.49411e-05
-4.93862e+00   3.51435e-05
-4.43862e+00   3.53550e-05
-3.93862e+00   3.55764e-05
-3.43862e+00   3.58082e-05
-2.93862e+00   3.60508e-05
-2.43862e+00   3.63044e-05
-1.93862e+00   3.65687e-05
-1.43862e+00   3.68427e-05
-9.38620e-01   3.71249e-05
-4.38620e-01   3.74126e-05
6.13800e-02   3.77024e-05
5.61380e-01   3.79906e-05
1.06138e+00   3.82738e-05
1.56138e+00   3.85495e-05
