# freq/cm-1  Intensity 
-1.73974e+02   2.21081e-05
-1.73474e+02   2.21256e-05
-1.72974e+02   2.21432e-05
-1.72474e+02   2.21607e-05
-1.71974e+02   2.21783e-05
-1.71474e+02   2.21959e-05
-1.70974e+02   2.22136e-05
-1.70474e+02   2.22312e-05
-1.69974e+02   2.22490e-05
-1.69474e+02   2.22667e-05
-1.68974e+02   2.22845e-05
-1.68474e+02   2.23023e-05
-1.67974e+02   2.23201e-05
-1.67474e+02   2.23380e-05
-1.66974e+02   2.23559e-05
-1.66474e+02   2.23738e-05
-1.65974e+02   2.23917e-05
-1.65474e+02   2.24097e-05
-1.64974e+02   2.24278e-05
-1.64474e+02   2.24458e-05
-1.63974e+02   2.24639e-05
-1.63474e+02   2.24820e-05
-1.62974e+02   2.25002e-05
-1.62474e+02   2.25184e-05
-1.61974e+02   2.25366e-05
-1.61474e+02   2.25548e-05
-1.60974e+02   2.25731e-05
-1.60474e+02   2.25914e-05
-1.59974e+02   2.26098e-05
-1.59474e+02   2.26282e-05
-1.58974e+02   2.26466e-05
-1.58474e+02   2.26650e-05
-1.57974e+02   2.26835e-05
-1.57474e+02   2.27020e-05
-1.56974e+02   2.27206e-05
-1.56474e+02   2.27392e-05
-1.55974e+02   2.27578e-05
-1.55474e+02   2.27765e-05
-1.54974e+02   2.27952e-05
-1.54474e+02   2.28139e-05
-1.53974e+02   2.28327e-05
-1.53474e+02   2.28515e-05
-1.52974e+02   2.28703e-05
-1.52474e+02   2.28892e-05
-1.51974e+02   2.29081e-05
-1.51474e+02   2.29270e-05
-1.50974e+02   2.29460e-05
-1.50474e+02   2.29650e-05
-1.49974e+02   2.29841e-05
-1.49474e+02   2.30032e-05
-1.48974e+02   2.30223e-05
-1.48474e+02   2.30415e-05
-1.47974e+02   2.30607e-05
-1.47474e+02   2.30799e-05
-1.46974e+02   2.30992e-05
-1.46474e+02   2.31185e-05
-1.45974e+02   2.31379e-05
-1.45474e+02   2.31573e-05
-1.44974e+02   2.31767e-05
-1.44474e+02   2.31962e-05
-1.43974e+02   2.32157e-05
-1.43474e+02   2.32353e-05
-1.42974e+02   2.32548e-05
-1.42474e+02   2.32745e-05
-1.41974e+02   2.32941e-05
-1.41474e+02   2.33139e-05
-1.40974e+02   2.33336e-05
-1.40474e+02   2.33534e-05
-1.39974e+02   2.33732e-05
-1.39474e+02   2.33931e-05
-1.38974e+02   2.34130e-05
-1.38474e+02   2.34330e-05
-1.37974e+02   2.34530e-05
-1.37474e+02   2.34730e-05
-1.36974e+02   2.34931e-05
-1.36474e+02   2.35132e-05
-1.35974e+02   2.35334e-05
-1.35474e+02   2.35536e-05
-1.34974e+02   2.35738e-05
-1.34474e+02   2.35941e-05
-1.33974e+02   2.36145e-05
-1.33474e+02   2.36348e-05
-1.32974e+02   2.36553e-05
-1.32474e+02   2.36757e-05
-1.31974e+02   2.36963e-05
-1.31474e+02   2.37168e-05
-1.30974e+02   2.37374e-05
-1.30474e+02   2.37581e-05
-1.29974e+02   2.37788e-05
-1.29474e+02   2.37995e-05
-1.28974e+02   2.38203e-05
-1.28474e+02   2.38411e-05
-1.27974e+02   2.38620e-05
-1.27474e+02   2.38829e-05
-1.26974e+02   2.39039e-05
-1.26474e+02   2.39249e-05
-1.25974e+02   2.39460e-05
-1.25474e+02   2.39671e-05
-1.24974e+02   2.39883e-05
-1.24474e+02   2.40095e-05
-1.23974e+02   2.40307e-05
-1.23474e+02   2.40521e-05
-1.22974e+02   2.40734e-05
-1.22474e+02   2.40948e-05
-1.21974e+02   2.41163e-05
-1.21474e+02   2.41378e-05
-1.20974e+02   2.41594e-05
-1.20474e+02   2.41810e-05
-1.19974e+02   2.42026e-05
-1.19474e+02   2.42244e-05
-1.18974e+02   2.42461e-05
-1.18474e+02   2.42679e-05
-1.17974e+02   2.42898e-05
-1.17474e+02   2.43117e-05
-1.16974e+02   2.43337e-05
-1.16474e+02   2.43558e-05
-1.15974e+02   2.43778e-05
-1.15474e+02   2.44000e-05
-1.14974e+02   2.44222e-05
-1.14474e+02   2.44444e-05
-1.13974e+02   2.44667e-05
-1.13474e+02   2.44891e-05
-1.12974e+02   2.45115e-05
-1.12474e+02   2.45340e-05
-1.11974e+02   2.45565e-05
-1.11474e+02   2.45791e-05
-1.10974e+02   2.46018e-05
-1.10474e+02   2.46245e-05
-1.09974e+02   2.46472e-05
-1.09474e+02   2.46701e-05
-1.08974e+02   2.46929e-05
-1.08474e+02   2.47159e-05
-1.07974e+02   2.47389e-05
-1.07474e+02   2.47620e-05
-1.06974e+02   2.47851e-05
-1.06474e+02   2.48083e-05
-1.05974e+02   2.48315e-05
-1.05474e+02   2.48548e-05
-1.04974e+02   2.48782e-05
-1.04474e+02   2.49017e-05
-1.03974e+02   2.49252e-05
-1.03474e+02   2.49487e-05
-1.02974e+02   2.49724e-05
-1.02474e+02   2.49961e-05
-1.01974e+02   2.50198e-05
-1.01474e+02   2.50436e-05
-1.00974e+02   2.50675e-05
-1.00474e+02   2.50915e-05
-9.99744e+01   2.51155e-05
-9.94744e+01   2.51396e-05
-9.89744e+01   2.51638e-05
-9.84744e+01   2.51881e-05
-9.79744e+01   2.52124e-05
-9.74744e+01   2.52368e-05
-9.69744e+01   2.52612e-05
-9.64744e+01   2.52857e-05
-9.59744e+01   2.53103e-05
-9.54744e+01   2.53350e-05
-9.49744e+01   2.53597e-05
-9.44744e+01   2.53846e-05
-9.39744e+01   2.54095e-05
-9.34744e+01   2.54344e-05
-9.29744e+01   2.54595e-05
-9.24744e+01   2.54846e-05
-9.19744e+01   2.55098e-05
-9.14744e+01   2.55351e-05
-9.09744e+01   2.55604e-05
-9.04744e+01   2.55859e-05
-8.99744e+01   2.56114e-05
-8.94744e+01   2.56370e-05
-8.89744e+01   2.56627e-05
-8.84744e+01   2.56884e-05
-8.79744e+01   2.57143e-05
-8.74744e+01   2.57402e-05
-8.69744e+01   2.57662e-05
-8.64744e+01   2.57923e-05
-8.59744e+01   2.58185e-05
-8.54744e+01   2.58448e-05
-8.49744e+01   2.58711e-05
-8.44744e+01   2.58976e-05
-8.39744e+01   2.59241e-05
-8.34744e+01   2.59507e-05
-8.29744e+01   2.59775e-05
-8.24744e+01   2.60043e-05
