
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.4394      1.00000
      2     -24.5831      1.00000
      3     -24.3126      1.00000
      4     -24.1852      1.00000
      5     -24.1061      1.00000
      6     -24.0741      1.00000
      7     -23.9221      1.00000
      8     -23.8390      1.00000
      9     -23.4232      1.00000
     10     -23.3521      1.00000
     11     -23.3370      1.00000
     12     -23.2927      1.00000
     13     -23.1765      1.00000
     14     -23.1009      1.00000
     15     -22.9928      1.00000
     16     -22.9636      1.00000
     17     -22.9094      1.00000
     18     -22.8219      1.00000
     19     -22.5995      1.00000
     20     -22.5302      1.00000
     21     -22.0927      1.00000
     22     -22.0349      1.00000
     23     -21.9923      1.00000
     24     -21.9834      1.00000
     25     -21.9306      1.00000
     26     -21.9154      1.00000
     27     -21.8982      1.00000
     28     -21.8717      1.00000
     29     -21.8132      1.00000
     30     -21.7831      1.00000
     31     -21.6313      1.00000
     32     -21.5813      1.00000
     33     -21.5356      1.00000
     34     -21.4683      1.00000
     35     -21.4612      1.00000
     36     -21.3520      1.00000
     37     -21.2147      1.00000
     38     -21.1409      1.00000
     39     -21.0547      1.00000
     40     -21.0066      1.00000
     41     -20.9861      1.00000
     42     -20.9327      1.00000
     43     -20.8975      1.00000
     44     -20.8197      1.00000
     45     -20.8081      1.00000
     46     -20.7889      1.00000
     47     -20.6923      1.00000
     48     -20.0042      1.00000
     49     -17.1979      1.00000
     50     -14.7775      1.00000
     51     -14.6850      1.00000
     52     -14.6468      1.00000
     53     -14.5922      1.00000
     54     -14.5447      1.00000
     55     -14.5089      1.00000
     56     -14.4846      1.00000
     57     -14.4223      1.00000
     58     -14.3356      1.00000
     59     -14.2959      1.00000
     60     -14.1599      1.00000
     61     -14.0981      1.00000
     62     -13.9883      1.00000
     63     -13.8212      1.00000
     64     -13.7881      1.00000
     65     -13.7084      1.00000
     66     -13.6645      1.00000
     67     -13.5711      1.00000
     68     -13.3820      1.00000
     69     -13.1838      1.00000
     70     -13.1494      1.00000
     71     -13.1343      1.00000
     72     -13.0937      1.00000
     73     -13.0776      1.00000
     74     -13.0600      1.00000
     75     -13.0082      1.00000
     76     -12.9592      1.00000
     77     -12.8910      1.00000
     78     -12.7297      1.00000
     79     -12.5839      1.00000
     80     -12.3890      1.00000
     81     -12.3591      1.00000
     82     -12.2140      1.00000
     83     -12.1680      1.00000
     84     -12.0836      1.00000
     85     -11.9879      1.00000
     86     -11.7154      1.00000
     87     -11.6462      1.00000
     88     -11.5849      1.00000
     89     -11.4620      1.00000
     90     -11.3005      1.00000
     91     -11.0460      1.00000
     92     -10.9618      1.00000
     93     -10.9174      1.00000
     94     -10.8606      1.00000
     95     -10.8066      1.00000
     96     -10.7594      1.00000
     97     -10.7550      1.00000
     98     -10.6609      1.00000
     99     -10.5848      1.00000
    100     -10.5468      1.00000
    101     -10.5278      1.00000
    102     -10.4939      1.00000
    103     -10.4020      1.00000
    104     -10.3882      1.00000
    105     -10.3589      1.00000
    106     -10.3447      1.00000
    107     -10.3136      1.00000
