
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3086      1.00000
      2     -24.0004      1.00000
      3     -23.9154      1.00000
      4     -23.8991      1.00000
      5     -23.8426      1.00000
      6     -23.7809      1.00000
      7     -23.6260      1.00000
      8     -23.1509      1.00000
      9     -23.1162      1.00000
     10     -23.0845      1.00000
     11     -23.0308      1.00000
     12     -22.9882      1.00000
     13     -22.8987      1.00000
     14     -22.7515      1.00000
     15     -22.7306      1.00000
     16     -22.6882      1.00000
     17     -22.6263      1.00000
     18     -22.5297      1.00000
     19     -22.3027      1.00000
     20     -21.8217      1.00000
     21     -21.7843      1.00000
     22     -21.7456      1.00000
     23     -21.7311      1.00000
     24     -21.7034      1.00000
     25     -21.6829      1.00000
     26     -21.6683      1.00000
     27     -21.6572      1.00000
     28     -21.6321      1.00000
     29     -21.5657      1.00000
     30     -21.4668      1.00000
     31     -21.3977      1.00000
     32     -21.2983      1.00000
     33     -21.2865      1.00000
     34     -21.2545      1.00000
     35     -21.1507      1.00000
     36     -21.0309      1.00000
     37     -20.9528      1.00000
     38     -20.8327      1.00000
     39     -20.7600      1.00000
     40     -20.7401      1.00000
     41     -20.7343      1.00000
     42     -20.6639      1.00000
     43     -20.6417      1.00000
     44     -20.6143      1.00000
     45     -20.5748      1.00000
     46     -20.5556      1.00000
     47     -20.4159      1.00000
     48     -14.6403      1.00000
     49     -14.4589      1.00000
     50     -14.4252      1.00000
     51     -14.3974      1.00000
     52     -14.3534      1.00000
     53     -14.3255      1.00000
     54     -14.2827      1.00000
     55     -14.2537      1.00000
     56     -14.1961      1.00000
     57     -14.1105      1.00000
     58     -13.9890      1.00000
     59     -13.9767      1.00000
     60     -13.8605      1.00000
     61     -13.7992      1.00000
     62     -13.5922      1.00000
     63     -13.5481      1.00000
     64     -13.4707      1.00000
     65     -13.3815      1.00000
     66     -13.3472      1.00000
     67     -13.2590      1.00000
     68     -12.9246      1.00000
     69     -12.9018      1.00000
     70     -12.8944      1.00000
     71     -12.8692      1.00000
     72     -12.8602      1.00000
     73     -12.8490      1.00000
     74     -12.8153      1.00000
     75     -12.6429      1.00000
     76     -12.4857      1.00000
     77     -12.4159      1.00000
     78     -12.2615      1.00000
     79     -12.1667      1.00000
     80     -12.1456      1.00000
     81     -12.0345      1.00000
     82     -11.9873      1.00000
     83     -11.8893      1.00000
     84     -11.7300      1.00000
     85     -11.6302      1.00000
     86     -11.3807      1.00000
     87     -11.3311      1.00000
     88     -11.2130      1.00000
     89     -11.0848      1.00000
     90     -10.8892      1.00000
     91     -10.8206      1.00000
     92     -10.6172      1.00000
     93     -10.5695      1.00000
     94     -10.5255      1.00000
     95     -10.5080      1.00000
     96     -10.4962      1.00000
     97     -10.4349      1.00000
     98     -10.3754      1.00000
     99     -10.2150      1.00000
    100     -10.1742      1.00000
    101     -10.1566      1.00000
    102     -10.1435      1.00000
    103     -10.1298      1.00000
    104     -10.1254      1.00000
    105     -10.0921      1.00000
    106     -10.0810      1.00000
    107     -10.0753      1.00000
    108     -10.0640      1.00000
    109     -10.0293      1.00000
    110     -10.0229      1.00000
    111     -10.0163      1.00000
    112      -9.9919      1.00000
    113      -9.9734      1.00000
    114      -9.9570      1.00000
    115      -9.9230      1.00000
    116      -9.8840      1.00000
    117      -9.7590      1.00000
    118      -9.7093      1.00000
    119      -9.6170      1.00000
    120      -9.5370      1.00000
    121      -9.3294      1.00000
    122      -9.3114      1.00000
    123      -9.2643      1.00000
    124      -9.2307      1.00000
    125      -9.1248      1.00000
    126      -9.0082      1.00000
    127      -8.9352      1.00000
    128      -8.9108      1.00000
    129      -8.8807      1.00000
    130      -8.8345      1.00000
    131      -8.7957      1.00000
    132      -8.7610      1.00000
    133      -8.7441      1.00000
    134      -8.6489      1.00000
    135      -8.6267      1.00000
    136      -8.6137      1.00000
    137      -8.5988      1.00000
    138      -8.5578      1.00000
    139      -8.5356      1.00000
    140      -8.5066      1.00000
    141      -8.4513      1.00000
    142      -8.4417      1.00000
    143      -8.3993      1.00000
    144      -8.3863      1.00000
    145      -8.3533      1.00000
    146      -8.3214      1.00000
    147      -8.2551      1.00000
    148      -8.2086      1.00000
    149      -8.1410      1.00000
    150      -8.0695      1.00000
    151      -8.0653      1.00000
    152      -8.0538      1.00000
    153      -7.8102      1.00000
    154      -7.6530      1.00000
    155      -7.5942      1.00000
    156      -7.3150      1.00000
    157      -7.2632      1.00000
    158      -7.1962      1.00000
    159      -7.1882      1.00000
    160      -7.1389      1.00000
    161      -7.1147      1.00000
    162      -6.9940      1.00000
    163      -6.9642      1.00000
    164      -6.9504      1.00000
    165      -6.9240      1.00000
    166      -6.9122      1.00000
    167      -6.9032      1.00000
    168      -6.8906      1.00000
    169      -6.8654      1.00000
    170      -6.8514      1.00000
    171      -6.6576      1.00000
    172      -6.5702      1.00000
    173      -6.5485      1.00000
    174      -6.4759      1.00000
    175      -6.3352      1.00000
    176      -6.3160      1.00000
    177      -6.3015      1.00000
    178      -6.2098      1.00000
    179      -6.0427      1.00000
    180      -5.8539      1.00000
    181      -5.5945      1.00000
    182      -5.5316      1.00000
    183      -5.5167      1.00000
    184      -5.5128      1.00000
    185      -5.4020      1.00000
    186      -5.3578      1.00000
    187      -5.2970      1.00000
    188      -5.2739      1.00000
    189      -5.2397      1.00000
    190      -5.2190      1.00000
    191      -5.0349      1.00000
    192      -4.5667      1.00000
    193      -3.2308      1.00000
    194      -2.3586      0.00000
    195      -1.1259      1.00000
    196       0.2341      0.00000
    197       0.8176      0.00000
