
 Fermi energy:        -3.8240917457

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9387      1.00000
      2     -23.6179      1.00000
      3     -23.5591      1.00000
      4     -23.5586      1.00000
      5     -23.3890      1.00000
      6     -23.3888      1.00000
      7     -23.0837      1.00000
      8     -22.6671      1.00000
      9     -22.6670      1.00000
     10     -22.6667      1.00000
     11     -22.6546      1.00000
     12     -22.6540      1.00000
     13     -22.5809      1.00000
     14     -22.2774      1.00000
     15     -22.2415      1.00000
     16     -22.2407      1.00000
     17     -22.1315      1.00000
     18     -22.1306      1.00000
     19     -21.7844      1.00000
     20     -21.3620      1.00000
     21     -21.3549      1.00000
     22     -21.3546      1.00000
     23     -21.3505      1.00000
     24     -21.3495      1.00000
     25     -21.3490      1.00000
     26     -21.1680      1.00000
     27     -21.1676      1.00000
     28     -21.1415      1.00000
     29     -21.1073      1.00000
     30     -21.1069      1.00000
     31     -21.0303      1.00000
     32     -20.8153      1.00000
     33     -20.8149      1.00000
     34     -20.7784      1.00000
     35     -20.7000      1.00000
     36     -20.6999      1.00000
     37     -20.3954      1.00000
     38     -20.3863      1.00000
     39     -20.3858      1.00000
     40     -20.3691      1.00000
     41     -20.2838      1.00000
     42     -20.2802      1.00000
     43     -20.2801      1.00000
     44     -20.1399      1.00000
     45     -20.0304      1.00000
     46     -20.0297      1.00000
     47     -19.6629      1.00000
     48     -19.3604      1.00000
     49     -19.3601      1.00000
     50     -14.0167      1.00000
     51     -14.0163      1.00000
     52     -14.0038      1.00000
     53     -13.9601      1.00000
     54     -13.9565      1.00000
     55     -13.9560      1.00000
     56     -13.8113      1.00000
     57     -13.7998      1.00000
     58     -13.7997      1.00000
     59     -13.4818      1.00000
     60     -13.4816      1.00000
     61     -13.3877      1.00000
     62     -13.2284      1.00000
     63     -13.2284      1.00000
     64     -13.1551      1.00000
     65     -13.0102      1.00000
     66     -12.9918      1.00000
     67     -12.9917      1.00000
     68     -12.4898      1.00000
     69     -12.4725      1.00000
     70     -12.4722      1.00000
     71     -12.4493      1.00000
     72     -12.4324      1.00000
     73     -12.4320      1.00000
     74     -12.3149      1.00000
     75     -12.2576      1.00000
     76     -12.2574      1.00000
     77     -12.1457      1.00000
     78     -12.1454      1.00000
     79     -12.0097      1.00000
     80     -11.7728      1.00000
     81     -11.7727      1.00000
     82     -11.5699      1.00000
     83     -11.5417      1.00000
     84     -11.5415      1.00000
     85     -11.1533      1.00000
     86     -10.8982      1.00000
     87     -10.8757      1.00000
     88     -10.8749      1.00000
     89     -10.7942      1.00000
     90     -10.7939      1.00000
     91     -10.4787      1.00000
     92     -10.2188      1.00000
     93     -10.1572      1.00000
     94     -10.1511      1.00000
     95     -10.1509      1.00000
     96     -10.1146      1.00000
     97     -10.1145      1.00000
     98     -10.0269      1.00000
     99      -9.7597      1.00000
    100      -9.7459      1.00000
    101      -9.7367      1.00000
    102      -9.7365      1.00000
    103      -9.7299      1.00000
    104      -9.7297      1.00000
    105      -9.7184      1.00000
    106      -9.6980      1.00000
    107      -9.6975      1.00000
    108      -9.6235      1.00000
    109      -9.6041      1.00000
    110      -9.5976      1.00000
    111      -9.5972      1.00000
    112      -9.5457      1.00000
    113      -9.5454      1.00000
    114      -9.5380      1.00000
    115      -9.5141      1.00000
    116      -9.5138      1.00000
    117      -9.4974      1.00000
    118      -9.4971      1.00000
    119      -9.2280      1.00000
    120      -9.2275      1.00000
    121      -9.1418      1.00000
    122      -8.9758      1.00000
    123      -8.9720      1.00000
    124      -8.9719      1.00000
    125      -8.6909      1.00000
    126      -8.5097      1.00000
    127      -8.5095      1.00000
    128      -8.4957      1.00000
    129      -8.4893      1.00000
    130      -8.4889      1.00000
    131      -8.4636      1.00000
    132      -8.4631      1.00000
    133      -8.3643      1.00000
    134      -8.3330      1.00000
    135      -8.2261      1.00000
    136      -8.2104      1.00000
    137      -8.2102      1.00000
    138      -8.1322      1.00000
    139      -8.1319      1.00000
    140      -7.9871      1.00000
    141      -7.9532      1.00000
    142      -7.9481      1.00000
    143      -7.9480      1.00000
    144      -7.9149      1.00000
    145      -7.9142      1.00000
    146      -7.8835      1.00000
    147      -7.8225      1.00000
    148      -7.8146      1.00000
    149      -7.8137      1.00000
    150      -7.6704      1.00000
    151      -7.6691      1.00000
    152      -7.6689      1.00000
    153      -7.6145      1.00000
    154      -7.6141      1.00000
    155      -7.4027      1.00000
    156      -7.0615      1.00000
    157      -7.0611      1.00000
    158      -6.7829      1.00000
    159      -6.6977      1.00000
    160      -6.6974      1.00000
    161      -6.6087      1.00000
    162      -6.6013      1.00000
    163      -6.6010      1.00000
    164      -6.5923      1.00000
    165      -6.5904      1.00000
    166      -6.5899      1.00000
    167      -6.5885      1.00000
    168      -6.3830      1.00000
    169      -6.3825      1.00000
    170      -6.3731      1.00000
    171      -6.3280      1.00000
    172      -6.3275      1.00000
    173      -6.2530      1.00000
    174      -6.1624      1.00000
    175      -6.1623      1.00000
    176      -6.1430      1.00000
    177      -5.8437      1.00000
    178      -5.8436      1.00000
    179      -5.8402      1.00000
    180      -5.7273      1.00000
    181      -5.7272      1.00000
    182      -5.4306      1.00000
    183      -5.1401      1.00000
    184      -5.1397      1.00000
    185      -5.1351      1.00000
    186      -5.0141      1.00000
    187      -5.0090      1.00000
    188      -5.0087      1.00000
    189      -4.8315      1.00000
    190      -4.8312      1.00000
    191      -4.7829      1.00000
    192      -4.2764      1.00000
    193      -4.2762      1.00000
    194      -4.2077      1.00000
    195      -4.2070      1.00000
    196      -4.1137      1.00000
    197       0.8825      0.00000
    198       1.4473      0.00000
    199       1.4943      0.00000
    200       1.4946      0.00000
    201       1.6224      0.00000
    202       1.6226      0.00000
    203       1.6998      0.00000
    204       1.7206      0.00000
    205       1.7303      0.00000
    206       1.7395      0.00000
    207       1.7396      0.00000
    208       1.7605      0.00000
    209       1.7605      0.00000
    210       1.7816      0.00000
    211       1.9057      0.00000
    212       1.9432      0.00000
    213       1.9433      0.00000
    214       2.0183      0.00000
    215       2.0185      0.00000
    216       2.2421      0.00000
    217       2.2442      0.00000
    218       2.2613      0.00000
    219       2.2614      0.00000
    220       2.2852      0.00000
